abnormality,병신
benighted,길이저문 ( 저물다 )
clew,길잡이 실
cynosure,길잡이가 되는 것
auspice,길조
dexter,길조의
pulpity,길쭉하다
slimjim,길쭉하다
handpost,길표
reeky,김나는
stale,김빠진
vapid,김빠진
diminution,김소
fescue,김의털
sew,깁다
stitch,깁다
feathering,깃
flagpole,깃대
flagstaff,깃대
indwell,깃들다
featherbone,깃뼈
lownecked,깃을 깊이 판
imp,깃을 덧붙여주다
plumage,깃털
feathered,깃털 장식이 있는
shuttlecock,깃털공
fledge,깃털로 덮다
plume,깃털로 장장식하다
deplume,깃털을 잡아 뜯다
fledgeling,깃털이 갓난새 새끼
unfledged,깃털이 다 나지 않은
fledged,깃털이 다 난
callow,깃털이 아직 나지 않은
plumose,깃털이 있는
fullfledged,깃털이다난
nib,깃펜끝
gingham,깅엄
deepen,깊게 하다
profundity,깊은속
incised,깊이 갈라진
gash,깊이 갈라진 틈
overpower,깊이 감동시키다
scotia,깊이 도려낸 쇠시리
ingrain,깊이 베어든
ingrained,깊이 베어든
deeprooted,깊이 뿌리 박힌
affectionate,깊이 사랑하고 있는
preoccupy,깊이 생각케 하다
ruminative,깊이 생각하는
contemplator,깊이 생각하는 사람
chew,깊이 생각하다
steeped,깊이 스며든
unsound,깊이 안 든
slushy,깊이 없고 감상적인
wakeless,깊이 잠든
deepset,깊이 파인
waistdeep,깊이가 허리까지 차는
fathomless,깊이를 알 수 없는
croppy,까까머리
shaveling,까까중
adz,까뀌
arista,까끄라기
hummel,까끄라기 없는
awned,까끄라기가 있는
flagstone,까는 돌
rug,까는 모피
prigishness,까다로움
annoyingly,까다롭게
sourly,까다롭게
idle,까닭 없는
unproblished,까닭 없는
unaccountable,까닭을 알 수 없는
beardless,까락이 없는
crow,까마귀
corvus,까마귀속
skyhigh,까마득히 높은
batblind,까막눈이의
bearberry,까막월귤
coaly,까만
decumulate,까먹어 없애다
frollicking,까부는
sportive,까부는
frolicsomely,까불거리며
frolicsome,까불거리며 뛰노는 흥겨운
vivacity,까불기
frolic,까불다
rollick,까불며 날뛰다
caw,까악까악
croak,까악까악 울다
until,까지
backdate,까지 소급시키다
chafe,까지다
bracketing,까치발
currant,까치밥나무
ribes,까치밥나무속의 식물
loosestrife,까치수염속
whittle,깍다
politely,깍듯이
courtesely,깍듯이
paring,깍은 부스러기
cupule,깍정이
shelling,깍지가기
interdigitate,깍지끼다
shellless,깍지없는
husky,깍지의
cheapener,깎아 주는 사람
snick,깎아 치다
shaving,깎아낸 부스러기
chopping,깎아치기
shave,깎은 부스러기
splinter,깎이다
picky,깐깐하다
bobble,깐닥깐닥상하로움직이다
screaming,깔깔 웃는
chortle,깔깔 웃다
cackle,깔깔웃다
neatly,깔끔하게
neatness,깔끔함
filler,깔때기
funnelform,깔때기 꼴의
slighting,깔보는
liner,깔쇠
shelve,깔아 뭉개다
bedstraw,깔짚
ratchet,깔쭉톱니바퀴
twinkling,깜ㅃ가임
darky,깜둥이
nigger,깜둥이
blinking,깜박거리는
blink,깜박거리다
aglimmer,깜박깜박 빛나서
winker,깜박이는사람
dustbrand,깜부기병
forgetfully,깜빡 잊어서
twinkle,깜빡할 사이
whizzer,깜작 놀라게 하는 조크
openeyed,깜작 놀란
startle,깜작놀라다
blimey,깜짝이야!
geewhizz,깜짝이야!
답답하다,깝깝하다
scutum,깝상 연골
phalarope,깝작도요무리
tenaciousness,깡체질
benne,깨
natty,깨끔한
ablution,깨끗이 씻는 물
slickedup,깨끗이 정돈된
clearable,깨끗이 할 수 있는
cleansing,깨끗이 함
lustrate,깨끗이하다
clarifier,깨끗하고 맑게 하는 것
shipshape,깨끗항
larn,깨닫게 하다
undeceive,깨닫게 하다
breaker,깨뜨리는 기계
chomp,깨물다
waking,깨어 있는
awake,깨어서
brickle,깨어지기 쉬운
slimsy,깨어지기 쉬운
admonish,깨우치다
salted,깨잎
cracky,깨지기 쉬운
breakable,깨지기 쉬운 것
eggshell,깨지기 쉬운 것
unbreakable,깨지지않는
cracked,깨진
spall,깨진 조각
yelp,깽깽
yelper,깽깽 짖는 개
tweedle,깽깽하는 소리
upend,꺼꾸로 세우다
awn,꺼끄러기
disinclination,꺼림
reluctance,꺼림
scat,꺼져
dying,꺼져가는
unextinguished,꺼지지 않은
dished,꺼진
extinct,꺼진
asperity,꺼칠꺼칠함
disbranch,꺽다
snag,꺽인 가지
snaggy,꺽인 가지
twisted,꺾이다
cachinnate,껄껄 웃다
cachinnation,껄껄 웃음
yuck,껄껄 웃음
granulate,껄껄하게 되다
shagreen,껄끄러운 가죽
sandy,껄끄럽다
obtected,껍데기가 있는
coarctate,껍데기에 싸여 있는
sheller,껍질 까는 사람
shelly,껍질 많은
barker,껍질 벗기는 사람
peeler,껍질 벗기는 사람
parer,껍질 벗기는기구
skinless,껍질 없는
encrust,껍질로 덮다
excoriate,껍질을 까다
debark,껍질을 벗기다
pare,껍질을 벗기다
peel,껍질을 벗기다
unhulled,껍질을 벗기지 않은
shelled,껍질을 벗긴깐껍질을 깐 견과
peeling,껍질을 벗김
softshell,껍질이 무른
scaled,껍질이 벗겨진
crupper,껑거리 끈
gangly,껑충하다
spindly,껑충하다
abstersive,께끗이 하는
cuddle,껴안고 귀여워하다
cuddly,껴안고 싶어하는
cannonball,껴안기형으로 다이빙하다
caress,껴안다
hug,껴안다
layering,껴입기
cluck,꼬꼬 울다
clack,꼬꼬댁거리다
laying,꼬는 법
entwist,꼬다
caudate,꼬리 모양의 부속 기관을 가진
parakite,꼬리 없는 연
bangtail,꼬리 자른 말
broadtail,꼬리가 굵은 양
rattail,꼬리가 긴 민어과의 심해어
forktailed,꼬리가 두 갈래 난
tailheavy,꼬리가 무거운
tailless,꼬리가 없는
caudad,꼬리근처에
ament,꼬리꽃차례
languishing,꼬리를 끄는
bumpertobumper,꼬리를 문
tailfirst,꼬리를 옆으로 하고
docktailed,꼬리를자른
telson,꼬리마디
sapajou,꼬리말이 원숭이
caudal,꼬리모양의
batrachian,꼬리업는 양서루의 동물
ringtail,꼬리에 고리 무의가 있는 동물
fishtail,꼬리치기 활공
speedwell,꼬리풀의 일종
brat,꼬마놈
jacksmelt,꼬마도요
nipper,꼬마둥이
turnstone,꼬마물떼새
elf,꼬마요정
elfin,꼬마요정
minikin,꼬마의
runty,꼬마의
dodgem,꼬마전기 자동차의 충돌놀이
priestling,꼬마중
livelong,꼬박
obediently,꼬박꼬박
serviently,꼬박꼬박
tortuosity,꼬부라짐
pothook,꼬부랑 글씨
meandering,꼬부랑길
waggly,꼬불꼬불 구부러진
torsional,꼬이는
tangle,꼬이다
unlaid,꼬이지 않은
temptation,꼬임
allurement,꼬임
tweak,꼬집다
broach,꼬챙이
skewer,꼬챙이
spitchcock,꼬치구이
nitpick,꼬치꼬치캐다
rattle,꼬투리 속에서 소리나는 열매가 생기는 식물
capsulate,꼬투리가 달린
pod,꼬투리를 까다
tightly,꼭꼭
phantom,꼭두
madder,꼭두서니
seizing,꼭쥠
braided,꼰
plait,꼰 끈
pigtail,꼰 담배
organzine,꼰 명주실
sennit,꼰 밧줄
gurglingly,꼴꼴소리를 내며
clumpy,꼴사나운
ungraceful,꼴사나운
unseemly,꼴사나운
unsightly,꼴사나운
flub,꼴사나운 실패
nicely,꼼꼼하게
prim,꼼꼼하게 하다
scrutinizingly,꼼꼼히
schneider,꼼작 못하게 누르다
crusher,꼼짝 못하게 굴복시키는 논박
impale,꼼짝 못하게 하다
refute,꼼짝 못하게 하다
committed,꼼짝 못할 입장이 되어
damning,꼼짝못할
erectile,꼿꼿이설수있는
moaning,꽁꽁
groaning,꽁꽁
flinch,꽁무니 뺌
butt,꽁초
hornfish,꽁치아재비
implant,꽂아 넣다
infix,꽂아넣다
rammer,꽂올대
inserted,꽂히다
grandiflora,꽃 송이가 큰 장미
flowering,꽃 장식을 달기
pollen,꽃가루
flowerily,꽃같이
rachis,꽃대
perianth,꽃덮이
isomerous,꽃등 각부분이 등수의
syrphid,꽃등에
nutant,꽃등이 고개를 숙이는 성질의
hesperis,꽃무 무리
flowerage,꽃무늬
murrhine,꽃무늬 유리의
floriated,꽃무늬의
corbeil,꽃바구니 장식
dittany,꽃박하
origanum,꽃박하속의 식물
torus,꽃받기
calyx,꽃받침
antheral,꽃밥의
ballflower,꽃방망이
osier,꽃버들
vase,꽃병
budded,꽃봉오리를 밍은
jackinthebox,꽃불
jackinabox,꽃불의 일종
chicory,꽃상추
endive,꽃상추
escarole,꽃상추의일종
maypop,꽃시계 덩굴
phanerpogamic,꽃식물의
phanerpogamous,꽃식물의
filament,꽃실
filamentary,꽃실의
cauliflower,꽃양배추
limpet,꽃양산조개
flowered,꽃으로 덮인
beflower,꽃으로 뒤덮다
biflorate,꽃을 두 개 가진
deflower,꽃을 따다
defloration,꽃을 땀
flowerbearing,꽃을 피우는
floral,꽃의
floristic,꽃의
tuft,꽃의 송이
gynoecium,꽃의 자성기
attar,꽃의 정
floriferous,꽃이 많은
floweriness,꽃이 많음
flowerless,꽃이 없는
abloom,꽃이 피어
efflorescent,꽃이 핀
inflorescent,꽃이핀
petaloid,꽃잎 모양의
petaline,꽃잎에 붙은
apetalous,꽃잎이 없는
polypetalous,꽃잎이 여러개인
petalled,꽃잎이 있는
bipetalous,꽃잎이둘있는
peduncle,꽃자루
uniparous,꽃자루가 하나뿐인
florist,꽃장수
electrolier,꽃전등
festoon,꽃줄
festoonery,꽃줄
anthotaxy,꽃차례
receptacle,꽃턱
effloresce,꽃피다
groundcherry,꽈리
impaction,꽉 들어차게함
chockfull,꽉 들어찬
jerk,꽉 비틀다
jab,꽉 찌르기
packed,꽉 찬
impacted,꽉 채워진
bodice,꽉끼는
handfast,꽉쥐기
chockablock,꽉차서
pow,꽝
thud,꽝
quackquack,꽥꽥
squawk,꽥꽥 거리다
squall,꽥꽥 떠들다
gabble,꽥꽥 울다
squeaker,꽥꽥거리는 사람
trickery,꾀
devices,꾀
artifices,꾀
finical,꾀까다로운
squeamish,꾀까다로운
waspish,꾀까다로운
cacique,꾀꼬리
blackcap,꾀꼬리의 무리
firebird,꾀꼬리의 일종
oriole,꾀꼬리의 일종
allure,꾀다
inveigle,꾀다
outjockey,꾀를 써서 이기다
quirky,꾀바른
malingery,꾀병
leadswinger,꾀병쟁이
bugout,꾀부리는 사람
decoy,꾀어들이다
slyboots,꾀자기
enticement,꾐
borrower,꾸는 사람
parcel,꾸러미
unpack,꾸러미를 끄르다
rustic,꾸림없는
pseudoevent,꾸며 낸 일
flourishy,꾸며 쓴
fabricate,꾸며내다
contrived,꾸며낸
madeup,꾸며낸
fabled,꾸며낸 이야기의
figment,꾸며낸 일
feignedly,꾸며서
hatch,꾸며지다
wriggle,꾸물거리다
writhe,꾸물거리다
squirm,꾸물거리다
procrastinate,꾸물거리다
temporize,꾸물거리다
dilatoriness,꾸물거림
laggardly,꾸물꾸물
dillydally,꾸물대다
adornment,꾸미기
ornamentation,꾸밈
unaffected,꾸밈 없는
unvarnished,꾸밈없는
drowsily,꾸벅꾸벅
napper,꾸벅꾸벅 조는 사람
nidnod,꾸벅꾸벅졸다
drowse,꾸벅꾸벅졺
crankle,꾸부러지다
trimmer,꾸지람 하는 사람
objurgation,꾸짖는
chide,꾸짖다
reprobate,꾸짖다
scold,꾸짖다
reprovingly,꾸짖듯이
debtor,꾼 사람
mellifluous,꿀같이 감미로운
honeysweet,꿀같이 단
gulpingiy,꿀걱꿀걱
grunt,꿀꿀 거리다
curculio,꿀꿀이바구미속
honeypot,꿀단지
gulp,꿀떡꿀떡 마시다
honeycreeper,꿀먹이새
hydromel,꿀물
skep,꿀벌집
beehive,꿀벌통
hive,꿀벌통
nectary,꿀샘
allheal,꿀풀
dreamful,꿈 많은
moony,꿈같은
trance,꿈결
stargazing,꿈결 같음
dreaminess,꿈꾸듯 황홀함 어렴풋함
dreamless,꿈꾸지 않는
dreamland,꿈나라
undreamedof,꿈에도 생각 않은
oneiric,꿈의
dreamworld,꿈의세계
outface,꿈쩍도 않다
wriggler,꿈틀거리는 사람
wringle,꿈틀기리다
fortitude,꿋꿋함
congou,꿍후차
pheasanteyed,꿩 눈같이 반점이 있는
pheasantry,꿩 사육장
stonecrop,꿩의 비름
fireback,꿩의 일종
impenetrability,꿰뚫기 어려움
penetrable,꿰뚫는
impenetrably,꿰뚫을수 없게
seam,꿰매 맞추다
seamless,꿰매 맞추다
stitchery,꿰매기
cobble,꿰매어 고치다
suture,꿰맨 자리
sutural,꿰맨자리의
darn,꿰메 깁다
piercing,꿰찌르는
tractor,끄는 도구
dragrope,끄는 줄
niddlenoddle,끄덕거리는
impregnable,끄떡 않는
unshrinking,끄떡없는
unbind,끄르다
unfix,끄르다
unsnap,끄르다
undoing,끄름
shred,끄트러기
repoint,끄트머리를 바꾸어 달다
eyelet,끈 꿰는 구멍
capote,끈 달린 보닛의 일종
taenioid,끈 모양의
strapwork,끈 모양의 세공
pertinacious,끈기 있는
stayer,끈기 있는 사람
indefatigable,끈기있는
birdlime,끈끈이
catchfly,끈끈이 대나물
limy,끈끈이를 바른
limetwig,끈끈이를 바른 나뭇가지
pastiness,끈끈함
viscidity,끈끈함
sticktoitive,끈덕진
unvaried,끈덕진
glutton,끈덕진 사람
importunity,끈덕진 요구
indefatigability,끈덕짐
pertinacity,끈덕짐
sticktoitiveness,끈덕짐
lacing,끈목
galloon,끈목
laceup,끈으로 묶는
braider,끈을 땋는 사람
laced,끈이 달린
stickily,끈적거리게
stickiness,끈적거림
slimily,끈적끈적하게
ropy,끈적끈적하는
pressingly,끈질기게
nag,끈질기게 괴롭히다
birddog,끈질기게 뒤밟아 탐정하다
importunate,끈질긴
nagging,끈질긴
unremitting,끈질긴
untiring,끈질긴
kicker,끈질긴 반항자
neverfailing,끊기지 않는
seethe,끊어 오르다
gapless,끊어진 데가 없는
discontinuity,끊어짐
abstentious,끊은
scalder,끊이는 기구
unceasing,끊임 없는
ceaseless,끊임없는
incessantly,끊임없는
uninterrupted,끊임없는
borer,끌
chisel,끌
quenchless,끌 수 없는
unquenchable,끌 수 없는
extinguishable,끌 수 있는
quench,끌수 없는
conduction,끌어 들임
indraft,끌어 들임
trice,끌어 올려서 묶다
refloat,끌어 올리다
elicit,끌어내다
derivable,끌어낼 수 있는
eduction,끌어냄
puller,끌어당기는 사람
drabble,끌어더럽히다
leadin,끌어들이는을 이끄는
heaving,끌어올림
fang,끌이나 찬칼 따위의 슴베
thiller,끌채에 맨 말
boiling,끓음
boiler,끓이는 그릇
jumbo,끔찍이 큰 사람
slay,끔찍하게 죽이다
appalling,끔찍하다
hideous,끔찍하다
cruelty,끔찍함
hits,끗
points,끗
overtrump,끗수가 높은 패로 따다
groaningly,끙끙대다
desinence,끝 행
subterminal,끝가까운
edgeways,끝과 끝을 맞대고
terminative,끝내는 사람
epilogue,끝맺음말
finishing,끝손질의
everlasting,끝없는
infinite,끝없는
interminable,끝없는
unlimited,끝없는
abysm,끝없이 깊은 지옥
wilderness,끝없이 넓음
undersign,끝에 서명하다
chape,끝에 씌운쇠
knobstick,끝에 혹이 달린 곤봉
antepenultimate,끝에서 세번째 음절
antepenult,끝에서 세번째의
truncated,끝을 자른
truncation,끝을 잘라냄
apocope,끝음생략
ultima,끝음절
taper,끝이 가는
slapstick,끝이 갈라진 타봉
squaretoed,끝이 네모진
retuse,끝이 둥글고 약간 움푹 들어간
tapering,끝이 뾰족해진
inswept,끝이가는
cleansable,끼끗이 할 수 있는
bathe,끼얹다
douse,끼얹다
inset,끼워 넣다
inlay,끼워넣다
scroop,끼익 끼익 하다
screak,끼익끼익하다
unfitted,끼지 않는
squeak,끽끽
squealer,끽끽 우는 동물
chatter,끽끽 우는 소리
squeal,끽끽 울다
squelch,끽소리 못하게 하기
confute,끽소리 못하게 하다
squash,끽소리 못하게 하다
giggly,낄낄 웃는
giggle,낄낄거리다
nicker,낄낄웃다
whimper,낑낑거리는 소리
whine,낑낑거리는 소리
ourself,나 스스로
colous,나 있는의 뜻
vent,나갈 구멍을 터주다
canalize,나갈 길을 열어주다
brayer,나귀 소리를 내는 것
bray,나귀가울다
asinine,나귀의
heehaw,나귀의 울음 소리
lemming,나그네쥐
homuncule,나나쟁이
nanometer,나노미터10억분의 1미터 , 기호
nanoatom,나노아톰원자의 10억분의
nanoamp,나노앰프의 10억분의
nanoparticles,나노입자
aliquot,나누어 떨어지는
aliquant,나누어 떨어지지않는
impartation,나누어 줌
divisible,나누어지는
undivided,나눌 수 없는
indivisibility,나눌수 없는
inseparable,나눌수없는
sharing,나눔
impart,나눠 주다덧붙이다
indiscrete,나뉘어져 있지 않은
parted,나뉜
gad,나다니다
nathanael,나다니엘
adderstongue,나도고사리삼속의 일종
turtlehead,나도사향나무
goatsbeard,나도쇠채
hartstongue,나도파초 일엽
nard,나드
stateless,나라가 없는
ia,나라이름에 붙임
narratage,나라타주
comfrey,나래지치
narrate,나레이타가 되다
narrator,나레이터
narrater,나레이터
charon,나루지기
ferry,나루터
tote,나르기
bearer,나르는 사람
narceine,나르세인
narcissus,나르시스
narcotine,나르코틴
narthex,나르텍스
listly,나른한
febrile,나른한
heaviness,나른함 무기력
liliaceous,나리과의
niobe,나리의 일종
saboted,나막신을 신은
naomi,나모미의 시어머니
treed,나무 가죽
knur,나무 공
arbor,나무 그늘의 휴게소
bowery,나무 그늘이 많은
bosky,나무 그늘이 있는
grubber,나무 그루터기를 파내는 사람
raspberry,나무 딸기
cradling,나무 또는 쇠로 된 뼈대
nutter,나무 열매를 줍는사람
reglet,나무 인테르
kartel,나무 침대
butcherblock,나무 토막을 모아서 만든
treelined,나무가 늘어진
grovy,나무가 많은
arborescent,나무가지 모양의
culy,나무결이 물결 모양의
lathi,나무곤봉
embower,나무그늘에서쉬다
woodenware,나무기구
cuthbert,나무딸기
boysenberry,나무딸기의 일종
reprehend,나무라다
reprove,나무라다
reproachingly,나무라듯이
unimpeachable,나무랄 데 없는
unreproachable,나무랄 데 없는
impeccable,나무랄데 없는
defoliation,나무를 자르거나 숲을 불태우거나 하는 작전
xylophagous,나무를 자르는
bentwood,나무를휘어만든
firewood,나무마개
knag,나무마디
hammer,나무망치
arbored,나무모양
treenail,나무못
nog,나무벽돌
halftimbered,나무뼈대의
clump,나무숲
xylotomous,나무에 구멍을 뚫을 수 있는
insessorial,나무에 앉기에 알맞은
percher,나무에 앉는 새
silvichemical,나무에서 추출되는 화학 물질의 총칭
nutting,나무열매 줍기
nutbutter,나무열매로 만든 대용버터
trencher,나무접시
woodwork,나무제품
woodworm,나무좀
bole,나무줄기
timberwark,나무짜기
brandreth,나무틀
namibia,나미비아
navarin,나바랑
navarre,나바르
navaho,나바호말
moth,나방
psyche,나방의 일종
leprosy,나병
naboth,나봇
flutter,나부끼다
pieces,나부랭이
knot,나비 매듭
papilionaceous,나비 모양의
pealike,나비 모양의
thumbscrew,나비나사
bowknot,나비매듭
scalewinged,나비목의
goodish,나쁘지 않은
badness,나쁨
nasa,나사
corkscrew,나사 모양의
turnbuckle,나사 조이개
threader,나사깎개
nazarite,나사렛사람
lazarus,나사로
unscrew,나사를돌려늦추다
conchoid,나사선
duffel,나사의 일종
cone,나사조개
pushful,나서기 잘하는
chary,나서지 않는
gyration,나선
helix,나선
spiral,나선
caracole,나선 계단
spirally,나선 비행
screwworm,나선구더기
spirillum,나선균
whorled,나선모양으로 된
helical,나선모양의
helicoid,나선모양의
chromonema,나선사
helicline,나선상 도로
spica,나선상 붕대
spirochete,나선상균
involute,나선의
helic,나선의 뜻
gyre,나선형
varix,나선형 융기
helily,나선형으로
gyroidal,나선형으로 배열된
nasserism,나세르주의
nasdaq,나스다크
restive,나아가기를 싫어하는
onward,나아가서 =
effeminacy,나약
enervation,나약
nambypambyism,나약하여 남자답지 못함
nambypamby,나약한
sissyish,나약한
unmanly,나약한
offglide,나오는 경과음
lauan,나왕
nauru,나우루 공화국
nausicaa,나우시카아
nauplius,나우플리우스
baas,나으리
nibs,나으리
rhonchus,나음
my,나의
hoary,나이 들어 점잖은
boyhusband,나이 어린 남편
younger,나이 적은 쪽의
dame,나이가 든 여인
youngold,나이는 들었지만 젊어 보이는
nydrazid,나이드라짓
naira,나이라나이지리아의 화폐단위 100기호 N
nairobi,나이로비공화국의 수도
niagara,나이아가라
naiad,나이아스
nigeria,나이지리아
nigerian,나이지리아의
nike,나이키
tablifter,나이트 클럽의 손님
accolade,나이트작 수여식
nightclubber,나이트클럽의 단골손님
nineball,나인볼
nile,나일강
nilotic,나일강 유역 주민의
alexandria,나일강어귀의 항구
nilometer,나일강의 수위계
dahabeah,나일강의 여객용 범선
nylon,나일론
scourer,나일론 수세미
gymnosperm,나자식물
nude,나체
naturism,나체주
nudism,나체주
nazi,나치
hakenkreuz,나치스 독일의 기장
brownshirt,나치스당원
demassify,나치스화하다
naziism,나치주의
nazification,나치화
nazify,나치화하다
rhumb,나침방위
compass,나침의
binnacle,나침함
binacle,나침합
laziness,나타
emersed,나타난
idlesse,나태
indolent,나태한
nato,나토
sodium,나트륨
natriuresis,나트륨뇨 배설항진
napa,나파양의 가죽
trumpet,나팔 모양의 물건
bellbottoma,나팔 바지
tantara,나팔 소리
senner,나팔 신호
salpinx,나팔관 =
flaring,나팔꽃 모양의
embrasure,나팔꽃처럼 안쪽을 바깥쪽보다 넓게 낸 문이나 창구멍
trumpeter,나팔수
lento,나팔수선하
daffodil,나팔수선화
blunderbuss,나팔총
spoliation,나포
marque,나포 면허장
napoleon,나폴레옹
bonapartist,나폴레옹 1세 지지자
napoleonic,나폴레옹세의
napoleonism,나폴레옹주의
neapolitan,나폴리 사람
naples,나폴리이탈리아 남부의 항구도시
naphtha,나프타
naphthalene,나프탈렌
naphthaline,나프탈렌
naphthol,나프톨
gymnosophy,나행
nahum,나훔
nakhodka,나훗카시베리아 남동쪽에 있는 항구
bonism,낙관설
rosy,낙관적인
upbeat,낙관적인
loosefitting,낙낙하다
creamery,낙농장
dairyman,낙농장주인
dejection,낙담
despondency,낙담
dishearten,낙담시키다
thunderstroke,낙뢰
thunderstrike,낙뢰하다
unhorse,낙마시키다
unsaddle,낙마시키다
unseat,낙마시키다
dissapointment,낙망
butyrate,낙산염
naxalite,낙살라이트
doodling,낙서
graffiti,낙서
scrawling,낙서
scribbling,낙서
waterpower,낙수
gargoyle,낙수홈
dripdrip,낙숫물
chute,낙숫물 도랑
larch,낙엽송
eden,낙원
imparadise,낙원으로 만들다
stigmatization,낙인
flunk,낙제
devilfish,낙지
kd,낙찰
cameleer,낙타 몰이꾼
camlet,낙타 천
camelry,낙타대
camel,낙타색
feticide,낙태
abortifacient,낙태약
dropping,낙하
parachute,낙하산
paradog,낙하산 강하견
jumpsuit,낙하산 강하복
parachutist,낙하산 강하자
pararescue,낙하산 구조
jumpmaster,낙하산 부대장
paramedic,낙하산 위생병
paratrooping,낙하산 투하
paratroop,낙하산병의
pyrography,낙화술
poker,낙화용구
ensnarl,낚다
chum,낚시 밑밥
angleworm,낚시밥용지렁이
angling,낚시질
jig,낚싯봉 달린 낚시
jigger,낚싯봉 달린 낚시
subtopia,난 개발지역
balustrade,난간
banister,난간
breastrail,난간
guardrail,난간
handrail,난간
parapet,난간
baluster,난간 동자
balustraded,난간이 달린
unbearable,난감
unsufferable,난감
unwinnable,난공 불락의
oviduct,난관
impasse,난국
turbulence,난기류
chalaza,난대
mangle,난도질
mayhem,난동
potbelly,난로
stove,난로
fireside,난로가
firelight,난로불
disarrangement,난맥
oocyte,난모 세포
offing,난바다
shockheaded,난발의
dissipation,난봉
libertinism,난봉
debauchery,난봉
dissolute,난봉 피우는
debauchee,난봉꾼
playboy,난봉꾼
disapproval,난색
ovipara,난생 동물
oviparous,난생의
ovary,난소
ovotestis,난소 고환
ovariotomy,난소 절제술
spay,난소를 떼내다
oophoritis,난소염
ovaritis,난소염
ovarian,난소의
astigmatism,난시
astigmatic,난시교정의
marginalia,난외에 써넣기
catchword,난외표제어
utricle,난원낭
oogonium,난원세포
remarque,난의표지
inrush,난입
ovule,난자
ovum,난자
clutter,난잡
disarray,난잡
pellmell,난잡
racy,난잡스런
disarrange,난잡하게 하다
promiscuous,난잡하다
disorderly,난잡하다
immethodical,난잡하다
lilliput,난장이 나라
leprechaun,난장이 노인 모습의 요귀
dwarf,난쟁이
midget,난쟁이
lilliputian,난쟁이 나라의
dwarfish,난쟁이같은
scarificator,난절도
nodus,난점
brainteaser,난제
riddle,난제
facer,난처하게 하는 일
nonplus,난처하게만들다
perplexed,난처하다
constrainedly,난처하여
orchid,난초
orchidist,난초 재배가
orchidaceous,난초과의
nimbostratus,난층운
obstinacy,난치
buffering,난타
hitfest,난타전
slugfest,난타전
ovoviviparous,난태생의
fisticuff,난투
melee,난투
wreck,난파
wreckage,난파
shipwrecked,난파하다
castaway,난파하다
splitlevel,난평면의
hellion,난폭자
troublemaker,난폭자
cleavage,난할
blastomere,난할구
razzmatazz,난함
abstruse,난해
arcane,난해하다
inaccessible,난해하다
recondite,난해하다
selftorture,난행
oogenesis,난형성
promiscuity,난혼
vitellus,난황
vitellin,난황소
vitelline,난황의
volant,날 수 있는
volitant,날 수 있는
blunt,날 없는
peltry,날가죽
wingspread,날개 길
wingless,날개 없는
dipterous,날개가 둘 달린
apteral,날개가 없는
pennate,날개가 있는
brevipennate,날개가 짧은
pinion,날개깃
penniform,날개꼴의
clap,날개를 파닥이다
flap,날개를 퍼덕이다
ornithopter,날개를 퍼드덕거리며 나는 비행기
displayed,날개를 펴고 다리를 벌린
spreadeagle,날개를 편
nervure,날개막
impeller,날개바퀴
apterous,날개없는
alary,날개의
broadsword,날넓은칼
petaurist,날다람쥐 속의 동물
cockspur,날도래의 유충
draco,날도마뱀
obstreperous,날뛰는
wildish,날뛰는
jibber,날뛰는 버릇이 있는 말
rampageous,날뛰며 돌아다니는
rampage,날뛰며 돌아다니다
catlike,날랜
nimble,날랜
agile,날랜
spank,날랜 말
eater,날로 먹을 수 있는 과일
naloxone,날록손
jerrybuilding,날림 건축
quickie,날림 영화
slopwork,날림 일
jerrybuilt,날림으로 지은
jerrybuild,날림으로 짓다
onceoverlightly,날림일
bidonville,날림집지구
swordguard,날밑
yataghan,날밑 없는 칼
lovebug,날벌레의 일종에는 떼지어 다니며 자동차 교통의 장애가 됨
exhalation,날숨
expiration,날숨
expiratory,날숨의
warper,날실을 감는 기계
expeditious,날쌘
headsup,날쌘
fairweather,날씨가 좋은 때만의
thaw,날씨가 풀리다
skinny,날씬한
svelte,날씬한
outfly,날아 나오다
skirr,날아가버리다
flit,날아지나감
printworks,날염 공장
printed,날염한
reset,날을 갈아 달다
bezel,날의사면
edgy,날이 날카로운
keenedged,날이 날카로운
glaive,날이 넓은 칼
sealer,날인자
bulidup,날조
buildup,날조 조작
forger,날조자
concoct,날조하다
trumpedup,날조한
jerboa,날쥐
dater,날짜 스탬프
dateless,날짜 없는
dated,날짜 있는
misdate,날짜가 틀리다
dating,날짜기입
postdate,날짜를 실제보다 늦추어 달다
datal,날짜의
undated,날짜표시가 없는
sharpen,날카롭게 하다
journeyman,날품팔이
daysman,날품팔이꾼
antiquate,낡게하다
battlescarred,낡고 헌
unreconstructed,낡은 사상의
scripophily,낡은 주권수집 취미
timeproof,낡지 않는
sebastian,남가 이름
reserved,남겨둔
remanent,남겨진
priapus,남경
nanking,남경중국 장쑤성의
notogaea,남계
agnation,남계친
retiring,남과 어울리는 것을 피하듯
difficile,남과 어울리지 않는
southland,남국
grayback,남군 군인
reb,남군 병사
masculinist,남권주의자
antarctica,남극대륙
subantarctic,남극에 가까운
antarctic,남극의
schlang,남근
dildo,남근 모양으로 만든 성구
phallism,남근 숭배
phallic,남근 숭배의
lingam,남근상
phallus,남근상==CLTORLS
priapic,남근을 연상시키는
dreg,남김 없이 다 마시다
