ability,능력
swallow,빨아들이다
upper,갑피
concern,것
relation,법의 효력의 소급
consultation,상담
fitting,상당
plenty,많음
relativity,관계있음
relatively,상대적
correlatively,상대적
upstream,상류
commerce,교역
merchant,무역상인
trader,상인
symbolic,기호를 사용하는
emblematic,상징의
symbolize,상징하다
exhilirating,상쾌하다
trademark,상표
engrave,새기다
leak,누전
afresh,새로이
animation,만화영화제작
organism,생물
signing,서명
autographing,서명
books,도서
publications,서적
awkward,거북스럽다
master,사회자  의전관
distinct,뚜렷하다
declare,공언하다
proclaim,금지령을 선포하다
announce,고지하다
propaganda,선전
seniority,선임
persuasion,설득
found,녹이다
establish,개업시키다
diarrhea,배탈
disappointed,섭섭하다
fortress,성
successfully,성공적
formed,성립되다
statement,성명
growth,발육
sexual,성적
epoch,세
generation,대대로 계속해서
refined,고상하다
seminar,세미나
detergent,세정제
design,디자인
passivity,무저항
passiveness,소극적
earnings,벌이
desire,성취동기
naive,경험이 없는
ingenuous,소박하다
consumption,소비
pediatrics,소아과
usefulness,소용
possessor,소유자
cacaphony,소음
valuable,가치적
seriously,소중히
temperament,격정
software,소프트웨어
indifferently,소홀히
neglectfully,소홀히
digestion,소화
saying,격언
feeling,감각이 있는
whisper,몰래 말하다
deceive,미혹시키다
cheat,바람피우다
personally,손수
loss,상실
handling,손에 대기
soar,부풀다
toil,뼈빠지게 일하다
pains,수고
tap,가죽을 대다
passively,수동적
slumber,수면
hundreds,수백
thousands,수천
accomplishment,수행하다
instanteous,순간적
momentary,순간적
purity,결백
genuineness,순수
ranking,급수별
docile,가르치기쉬운
switch,다리꼭지
studio,작업장
furtively,살그머니
humidity,습기
passengers,승객
match,걸맞다
promotion,진흥
advancement,선진화
poetry,시
angle,각도
spinach,시금치
scenario,극본
fade,쇠퇴하다
cement,백악질
days,낮에
mayor,시장
astounding,몹시 놀라게 하는
faith,신념
priest,목사에 임명하다
mystery,불가사의
rapid,가파른
speedy,민속하다
application,도포
indeed,과연그래
recorded,기술적
disappointment,실망
execution,사형 집행
enforcement,시행
substantial,견고하다
essential,구비
substance,실속
reality,박진성
materialization,체현
psychological,심리적
judgment,가늠
examination,심리
referencing,심판
umpireship,심판
sprout,싹
twins,쌍둥이
greatly,관대하게
employed,고용자들
seeds,씨앗
regrettable,가엾은
pitiful,가엽다
grudge,아까워 하다
subordinate,아랫사람
asphalt,아스팔트
furthermore,더욱 더
idea,개념
nightmare,가위눌림
ophthalmology,안과
guidance,안내
conducting,안내
welfare,복리
assuredness,대담 무쌍
relief,경감
stability,불변
aluminum,알루미늄
examine,심문하다
acknowledge,승인하다
appreciate,그득하다
pressure,곤경
troubles,고욕
worries,근심걱정
affection,애정
album,사진첩
mewing,야옹
meowing,야옹
garish,번쩍거리는
medicines,약품
mean,불수진
ram,격돌하다
concession,거류지
compromise,더럽히다
raising,양식
amodality,양식
conscience,도의심
liquors,양주
disorganized,어지럽다
anyhow,어떻게든
awfully,어찌나
disappointing,억울하다
language,언사
somewhat,어느 정도
solemnity,엄숙
sham,모의전
leisure,안일
belle,여인
persistently,부쩍
linking,연결
relationships,대인 관계
postponement,연기
deferment,거치
postponed,연기되다
communication,교신
continuity,면면
succession,계승
passion,감정의 폭발
extension,신장
prolongation,연장
production,연출
presentation,배알
combination,공동 동작
federacy,동맹
union,결합 연합
totally,영
movies,동영상
nutrition,영양
sales,매상고
influence,감응력
consequences,영향
warn,경고하여 시키다
anticipate,예상되다
election,선임
artistic,멋있는
rehearse,매거하다
courtesy,공손
politeness,예의
entertainment,마음에 품음
exclusively,독점적으로
contamination,오염
contaminated,오염되다
online,온라인
straightforward,단적
perfection,극치
completeness,완전
loneliness,고독
claimed,요구되다
condense,고체화하다
abridge,간추리다
courageous,용감하다
bravery,용감
pardon,눈감아 주다
forgiveness,관대
amusing,우스운
conveyance,교부
administer,관장
revolution,격변
rank,가로줄
consolation,위로
solace,위로
illegality,불법행의
riskiness,위험성
jeapordy,위험성
menace,위협
threat,위협
talented,유능하다
favorable,유리하다
humor,기질
remains,유적
relics,유골
ruins,유적
preserved,유지되다
customarily,관례상
habitually,상투적
faint,가냘픈
indistinct,몽롱하다
purposefully,의도적
dresses,의류
garments,의복
resolve,결단
consciuosness,의식
awareness,알아채고있음
unexpectedly,공교롭게도
surprisingly,다짜다짜
volition,결의
will,결의
within,안에
ideology,공리 공론
migrate,이동하다
travel,이동하다
hereafter,금후
theoretical,이론적
parting,고별
dew,이슬
dewdrops,이슬
vulgarity,상스러움
slang,속어
subsequently,그후에
continuing,갱신할 필요가 없는
shortly,무뚝뚝하게
duplication,복제
personal,개인이 속하는
pavement,인도
sidewalk,인도
pulling,인상
impressive,감명을 주는
printing,날염
typography,인쇄
recognition,면식
cognizance,인식
authorize,인가하다
reduction,감수분열
lowering,인하
temporarily,일단
intentionally,일부러
individually,낱낱으로
established,기성
changeless,변함없다
constant,견실한
definite,일정하다
