abolish,철폐하다
menacing,공갈
threatening,공갈
ransom,공갈
frightener,공갈 전문의 깡패
racketeer,공갈꾼
racket,공갈치다
racquet,공갈치다
airscape,공감도
waiver,공개 이적
behindthescenes,공개안된
exoteric,공개적인
ammunition,공격수단
assailant,공격자
circularize,공고하다
consolidator,공고히 하는 사람
ephor,공공 사업 감독관
institutionalize,공공단체로 만들다
civism,공공심
diatessaron,공관 복음서
synoptist,공관 복음서의 저자
harmonistic,공관적 연구의
catechism,공교 요리
unlucky,공교로운
contretemps,공교로운 사건
tooling,공구세공
toolhouse,공구실
toolroom,공구실
dukedom,공국
principality,공국
sas,공군 특수 기동대
bowler,공굴리는사람
outlawry,공권 박탈
attainder,공권상실
attaint,공권을상실케하다
fell,공그르기
feller,공그르는 기구
blindstitch,공그르다
glut,공급 과잉
oversupply,공급 과잉
undersupply,공급 부족
overstock,공급과잉
unfurnished,공급되지 않은
feedstock,공급원료
caterer,공급자
provider,공급자
supplier,공급하는 사람
purvey,공급하다
tacv,공기 부상식 초고속 철도
aeroallergen,공기 알레르겐
aerothermodynamics,공기 열역학
spoiler,공기 제동판
windbag,공기 주머니
cushion,공기 쿠션
pneumatic,공기가  든 타이어
windway,공기가 지나가는 길
nonbreathing,공기가 통하지 않는
jackstone,공기놀이
marble,공기돌
airbreathe,공기를 빨아들이다
deflation,공기를 빼기
airproof,공기를 통하지 않는
airtight,공기를 통하지 않는
lighterthanair,공기보다 가벼운
aeriform,공기상의
aerate,공기에 쐬다
aerify,공기에 쐬다
airing,공기에 쐼
inhaler,공기여과기
aerodynamics,공기역학
aerotitis,공기염
aerification,공기와의 화합
conditioner,공기조절장치
aeropohobia,공기증
popgun,공기총
commie,공깃돌
trapball,공놀이의 일종
satin,공단
sidewinder,공대공미사일
airtoair,공대공의
airtounderwater,공대수중의
airtoground,공대지의
unadopted,공도가 아닌
antrum,공동
cavern,공동
jot,공동 감시 소조
partner,공동 경영
copartner,공동 경영자
coanchor,공동 뉴스 캐스터를 하다
coinsurance,공동 보험
coinsure,공동 보험에 들다
commonage,공동 사용권
copresident,공동 사장
gemeinschaft,공동 사회
coinheritance,공동 상속
coheir,공동 상속 자격
parcenary,공동 상속인
coinheritor,공동 상속자
parcener,공동 상속자
symbiosis,공동 생활
coparcenary,공동 소유
coowner,공동 소유자
cosponsor,공동 스폰서
nonjoinder,공동 원고의 불병합
cofactor,공동 인자
kitty,공동 자금
synergism,공동 작용
coefficient,공동 작용의
condominium,공동 주권
longhouse,공동 주택
concelebrate,공동 집전
concelebrant,공동 집전 사제
cotenancy,공동 차지
codefendant,공동 피고
corespondent,공동 피고인
codetermination,공동결정
openfield,공동경작의
coadventure,공동모험
concertation,공동보조
cosurety,공동보증인
intercommunity,공동사용
coparcener,공동상속인
coproducer,공동생산자
coproduce,공동생산하다
synergistic,공동성
collectivity,공동성
catv,공동시청 안테나 텔레비젼
hui,공동영업
amphoric,공동음의
cochair,공동의장을 맡다
coaction,공동작업
coagency,공동작업
synergy,공동작용
coagent,공동작용의 힘
rookery,공동주택
condominate,공동지배의
coauthor,공동집필하다
cotenant,공동차지인
cobelligerent,공동참전국
communalism,공동체주의
colloquium,공동토의
airhead,공두보
ornately,공들여 꾸며
arcaded,공랑이 있는
waterless,공랭식의
fiendish,공력이 드는
publicism,공론
metapolitics,공론 정치학
doctrinaire,공론가
ideologist,공론가
ideologue,공론가
pedant,공론가
talker,공론가
metaphysical,공론의
theoretic,공론의
axiom,공리
utilitarianism,공리설
expedient,공리적인
utilitarian,공리적인
almshouse,공립구빈원
sclera,공막
sclerectomy,공막 절제
scleritis,공막염
coplanar,공면의
vocality,공명
void,공명
nothingness,공명
resonator,공명기
unaspiring,공명심 없는
resonant,공명음
sonorant,공명음
sympathizer,공명자
resonate,공명하다
sympathize,공명하다
unsympathetic,공명하지 않는
aboveboard,공명히
cahoots,공모
complicity,공모
complot,공모
confederacy,공모
covin,공모
conspire,공모하다
justifier,공목
quadrat,공목
maladminister,공무 처리를 그르치다
recoil,공무니빼다
officially,공무상
viaticum,공무여행 급여물
lawhand,공문서체
tributary,공물을 바치는
altarage,공물중에서 성직자에게 지불하는 세례
disfranchisement,공민 박탈
civicism,공민 중심주의
civicminded,공민으로서의 의식을 가진
blankness,공백
lacuna,공백
interregnal,공백기간의
covariant,공변의
sapper,공병
re,공병대
bulletin,공보
io,공보장교
studious,공부 좋아하는
schoolroom,공부방
smug,공부벌레
covariance,공분산
azeotrope,공비 혼합물
legation,공사관
ministerial,공사의
probabibility,공산
communism,공산
communization,공산제
sovietism,공산주의
communistic,공산주의적인
communize,공산화하다
scifi,공상 과학 소설
fanzine,공상 과학 소설 잡지
daydreamer,공상가
dreamer,공상가
fancier,공상가
idealist,공상가
visionary,공상가
daydream,공상에 잠기다
fantasize,공상에 잠기다
fancied,공상의
phantasmal,공상의
unreal,공상의
visionless,공상이 없는
utopianism,공상적 개량책
micawberism,공상적 낙천주의
caprice,공상적 작품
utopia,공상적 정치체제
quixotism,공상적 행위
quixotry,공상적 행위
romantically,공상적으로
romanticize,공상적으로 하다
dreamy,공상적인
utopian,공상적인
fantasticality,공상적임
commensal,공생
paragenesis,공생
symbiont,공생자
mutualism,공서
collinear,공선적인
greenyard,공설 우리
abattoir,공설도축장
testudo,공성용 큰 방패
siegegun,공성포
arraign,공소사실의 사실여부를 묻다
civility,공손
complaisance,공손
hydrophobia,공수병
rabies,공수병
synchromism,공시
synchrony,공시상
synchronism,공시적
communique,공식 발표
handout,공식 성명
outgiving,공식 성명
deliverance,공식 의견
formulation,공식 표시
formularize,공식으로 나타내다
glasnost,공식적 개방 정책
dementi,공식적인 부인
postseason,공식전이후 시즌의
sitophobia,공식증
avowal,공언
unannounced,공언되지 않은
profess,공언하다
undeclared,공언하지 않은
declared,공언한
professed,공언한
poly,공업 학교
industrially,공업상
itv,공업용 텔레비젼
bort,공업용다이아몬드 부스러기
unmerited,공없이 얻은
ensemble,공연자
choreograph,공연하기 위해 를 편성하다
coprosperity,공영
anglophobia,공영사상
jobcenter,공영직업 소개소
commoner,공용권자
consolute,공용성의
communal,공용의
eutectic,공용의
voidance,공위
interrex,공위 기간중의 집정자
interregnum,공위기간
covalence,공유결합
muff,공을 놓치다
dropkick,공을 땅에 떨어뜨려 튀어 오를 때 차는 방법
roquet,공을 맞힘
miscue,공을 잘못 치기
sclaff,공을 치기 전에지면에 스치다
dap,공의 튐
lineout,공이 터치라인을 나간 뒤의 쓰루인
pestle,공이-로 갈라
hammerless,공이치기가 보이지 않는
realtor,공인 부동산 중개사
licensee,공인 주류 판매인
unauthorized,공인되지 않은
unchartered,공인되지 않은
licentiate,공인받은 사람
certified,공인의
legalization,공인하다
legalize,공인하다
cpa,공인회계사
confucious,공자
peacock,공작
peafowl,공작
duke,공작
maidenhair,공작 고사리 속의 속칭
adiantum,공작 고사리속
venusshair,공작 고사리의 일종
dowager,공작 미망인
sloyed,공작교육
duchy,공작령
duchess,공작부인
fantail,공작비둘기
malachite,공작석
ducal,공작의
pavonine,공작의
peachick,공작의 새끼
tommyshop,공장 안의 매점
jejunectomy,공장 절제
muzak,공장에 음악 보내주는 시스템
tailormade,공장에서 만든
rounder,공장을 돌아다니는 사람
coexistence,공재
sth,공적
governmental,공적
deserving,공적 있는
meritorious,공적 있는
atmospherics,공전
static,공전
revolving,공전
앞으로도,공전절후
equity,공정
rightness,공정
parashot,공정대
deduct,공제하다
concomitance,공존
coexistent,공존하는
aerialist,공중 곡예사
thermae,공중 목욕탕
alcm,공중 발사크루즈 미사일
levitation,공중 부양
aeroplankton,공중 부유 생물
aerobiology,공중 생물학
eyeinthesky,공중 전자 감시 장치
hovering,공중 정지
airdrop,공중 투하
paradrop,공중 투하
adm,공중발사유인미사일
radiator,공중선
skywriting,공중에 글씨 쓰기
levitate,공중에 뜨다
aerial,공중에 생기는-안테나곡예사
midair,공중의
aeromagnetic,공중자기의
airfight,공중전
tumble,공중제비를 하다
tumbler,공중제비하는 비둘기
diabolo,공중팽이
copolymer,공중합체
interpolymer,공중합체
chairoplane,공중회전그네
notarial,공증의
notarypublic,공증인
scrivener,공증인
notarially,공증인에 의하여
officehunter,공직 취임 운동자
incumbency,공직자
resonance,공진
coevolve,공진화하다
fairground,공진회
throwin,공짜로 주는 것
freeofcharge,공짜의
gratuitous,공짜의
freebie,공짜의 것
freeby,공짜의 것
confocal,공초점의
goncourtprize,공쿠르상
depository,공탁소
depositor,공탁자
esplanade,공터
commonality,공통성
triable,공판에 회부할 수 있는
committable,공판에 회부해야 할
pretrial,공판전의
coeditor,공편자
collaborator,공편자
evenness,공평
equitable,공평하다
impartial,공평하다
detached,공평한
dispassionate,공평한
evenhanded,공평한
blanks,공포
phobias,공포증
phobic,공포증적인
promulgation,공표
dnotice,공표금지 요청
scleriasis,공피증
singlesex,공학이 아닌
technologist,공학자
skycap,공항 포터
gosho,공항에서취소된 좌석이 나기를 기다리는 사람
emptiness,공허
emptily,공허하게
voided,공허하게된
inane,공허한
vacuous,공허한
contributive,공헌하는
republican,공화 정체
commonweal,공화국
commonwealth,공화국
republicanize,공화국으로 만들다
electra,과 Clytemnestra의 딸
midtown,과 uptown의 중간 지대
slick,과 정면 충돌하다
drastic,과감한
radicality,과격
jacobinism,과격 급진주의
bolshevist,과격론
ultimatism,과격론
ultraism,과격론
ultra,과격론자
bolshevism,과격주의
extremism,과격주의
deradicalize,과격주의를 버리게 하다
bloshevism,과격주의사상
bolshie,과격주의자
bolshevik,과격파
rad,과격파
hardhattism,과격파 강경 탄압
jacobin,과격파의 사람
sansculotte,과격파의 사람
gentleness,과격하지 않음
vallecula,과곡
supercharger,과급기
supercharge,과급하다
aster,과꽃
undercool,과냉각하다
carton,과녁 복판의 흰 별
bullseye,과녁의중심점
wand,과녁판
overabundance,과다
plethora,과다
surfeit,과다
guadalcanal,과달카날
fructose,과당
levulose,과당
exorbitance,과대
grossness,과대
paranoid,과대  망상적인
overexploitation,과대 개발
megalomaniac,과대 망상 환자
megalomania,과대 망상광
puffery,과대 선전
overinvoice,과대 청구하다
overestimate,과대 평가하다
overrate,과대 평가하다
overextension,과대 확장
hype,과대광고
expansive,과대망상적인
hoopla,과대선전
overestimation,과대평가
overprize,과대평가하다
bombastic,과대한
hyperbolic,과대한
immoderation,과도
intemperance,과도
transitional,과도적
overblown,과도하다
overdone,과도하다
oligarchy,과두 독재국
oligarch,과두정치
guarani,과라니 족
overfatigue,과로
overstrain,과로
overwork,과로
overtire,과로 하다
overwrought,과로한
finable,과료에 처할 수 있는
guarnerius,과르네리우스
granulation,과립
granular,과립 모양의
granulated,과립 모양의
granulocyte,과립구
grumose,과립이 모여된
permanganate,과망간산염
shipwreck,과멸
reticence,과묵
taciturnity,과묵
desensitize,과민성을 없애다
hypersensitivity,과민증
anaphylaxis,과민증의
hypersensitive,과민증의
highstrung,과민한
supersensitive,과민한
gynophore,과병
overprotect,과보호하다
dower,과부산
undeserved,과분한
peroxide,과산화물
catalase,과산화수소를 물과 산소로 분해하는 효소
taxation,과세
dimunitive,과소
orchardist,과수 재배
pomiculture,과수 재배
fruiter,과수 재배자
espalier,과수를받치는시렁
orchard,과수원
pomona,과수의 여신
superfetation,과수정
postmature,과숙의
fanfare,과시
flaunt,과시
foofaraw,과시
vaunted,과시되고 있는
exhibitionism,과시벽
overeating,과식
hyperphagia,과식
euphuism,과식체
overeat,과식하다
overconfidence,과신
overcredulity,과신
gaffe,과실
fruits,과실
results,과실
carpology,과실학
superheating,과열
plosive,과열음
superheater,과열장치
perchloride,과염화물
hyperalimentation,과영양
aberrance,과오
aberrancy,과오
periodide,과옥화물
extracurricular,과외의
overuse,과용
overdominance,과우성
crapulence,과음
crapulent,과음한
superphosphate,과인산 비료
overcompensation,과잉보상
confectionery,과자 제조소
confectionary,과자 제조의
cookey,과자빵
overwrite,과작하다
soberly,과장 없는
blownup,과장된
exaggerated,과장된
inflated,과장된
zazzle,과장된 성적 매력
spreadeagleism,과장된 애국주의
rhetorically,과장된 표현으로
emote,과장된행동을하다
hyperbole,과장법
hyperbolism,과장법
hyperbolize,과장법을 쓰다
hypergolic,과장의
exaggeration,과장적 표헌
exaggerator,과장적인 것
rhetorician,과장적인 연설가
overstate,과장하다
overact,과장하여 연기하다
overplay,과장하여 연기하다
colored,과장한
magniloquent,과장한
ossianic,과장한
overcolored,과장한
demagogue,과장해서 말하다
backslap,과장해서 친밀감을 보이다
oligopoly,과점
overburdensome,과중한
juicer,과즙기
reamer,과즙기
overpraise,과찬
columella,과축
guatemalan,과테말라 사람의
pericarp,과피
overfeed,과하게 먹이다
undue,과하다
technophoobia,과학 기술 공포증
antitechnology,과학 기술 만능주의 반대
teachnophobe,과학 기술을 겁내는 사람
prescientific,과학 발생 이전의
technocentered,과학기술 중심주의
technetronic,과학기술이 지배하는
technomania,과학기술편중주의
technography,과학사
interlingua,과학자용 인공어
scientism,과학적 태도.과학 용어
paranormal,과학적으로 설명할 수 없는
denotative,과학적인
imposition,과함
hyperglycemia,과혈당증
hyperventilation,과환기
hyperexcitability,과흥분
dispensable,과히 중요하지 않은
duct,관
coffin,관
corona,관
pall,관 덮는 천
tubular,관 모양의
tubulate,관 모양의
irrigation,관개
irrigative,관개의
irrigator,관개차
irrigate,관개하다
irrigable,관개할 수 있는
showmanship,관객 등을 끄는 수완
scaffold,관객석
endistance,관객을 이화하다
participational,관객참가의
officialdom,관계
cinammon,관계
relatival,관계사적인
extraneous,관계없는
customary,관계집
relational,관계하여
fencemending,관계회복
jugal,관골
acetabulum,관골구
cotyloid,관골구의
pretermission,관과
cicerone,관광 안내원
sightsee,관광 여행하다
tluristy,관광객에게 인기 있는
touristy,관광객풍의
excursion,관광단
theatergoung,관극
operacloak,관극용 여성 외투
associationism,관념 연합론자
idealism,관념론
tenderminded,관념론적인
ideality,관념성
ideomotor,관념운동성의
presentational,관념의
ideate,관념적 대상
idealy,관념적인
ideation,관념화
voluptuous,관능에 호소하는
sensual,관능적
catafalque,관대
bier,관대
generosity,관대
lenience,관대
lenity,관대
generously,관대하게
charitable,관대한
greathearted,관대한
indulgent,관대한
liberalminded,관대한
tolerant,관대한
permissivsm,관대함
forgivingly,관대히
coltsfoot,관동
pavilion,관람석
referential,관련 있는
choppy,관련성이 없는
implicate,관련시키다
rite,관례
conventionalism,관례 존중주의
consuetudinary,관례상의
conventionalize,관례에 따르게 하다
routinism,관례존중
routinize,관례화하다
matronly,관록 있는
bureaucrat,관료
bureaucratic,관료식의
bureaucratism,관료주의
officialism,관료주의
bureaucratization,관료화
perfusion,관류
custodian,관리인
janitor,관리인
conservator,관리자
curator,관리자
contumacious,관명 항거의
contumacy,관명항거
pappus,관모
blowball,관모구
pappoose,관모성의
tubulous,관모양의
gazette,관보
robe,관복
junket,관비 여행
junketeer,관비여행자
peracid,관산류
physiognomical,관상가
physiognomist,관상가
fistula,관상기관
weatherman,관상대원
tubulation,관상부
personology,관상학
perfoliate,관생의
designated,관선의
inertia,관성
impost,관세
tariff,관세
zollverein,관세 동맹
gatt,관세 무역 일반협정
customable,관세가 붙는
dutiable,관세를 물어야 할
unprotected,관세의 보호를 받지 않는
douche,관수
unconventional,관습에 매이지 않은
raffish,관습에 얽매이지 않는
institutive,관습에 의하여 확립된
crowned,관식을 단
oblivious,관심없는
piping,관악
fipple,관악기의 음향 조절 마개
partaker,관여자
governmentoperated,관영의
bugled,관옥 장식이 달린
toleration,관용
clemency,관용
idiom,관용구
phrase,관용구
idiomatically,관용구적
locution,관용어법
tubate,관을 가진
pallbearer,관을 들거나 옆을 따라가는장송자
intubate,관을 삽입하다
voyeur,관음자
voyeuristic,관음중의
hearsecloth,관의
tubal,관의
ductless,관이 없는
pipy,관이 있는
intrusion,관입
temporal,관자놀이의
edema,관장
enema,관장기
syringe,관장기
tubing,관재료
assignee,관재인
depositary,관재인
residency,관저
articulation,관절
condyle,관절구
arthritis,관절염
arthropathy,관절중
arthralgia,관절통
controlling,관제
managing,관제
administrate,관제하다
chime,관종
ccu,관질환 집중 치료 병동
bringing,관철
officialese,관청어
observing,관측적인
penetration,관통
perforation,관통
transfixion,관통
penetrability,관통성
perforative,관통하는
penetrate,관통하다
transpierce,관통하다
siphonophore,관해파리
orchestrate,관현악용으로 작곡하다
adnominal,관형사적인
attributive,관형적인
termagancy,괄괄함
stupefying,괄목하다
vinculum,괄선
strangulation,괄약
constrictor,괄약근
sphincter,괄약근
constrictive,괄약적인
strangulate,괄약하다
parenthesis,괄호
guam,괌섬
barn,광
closet,광
storeroom,광
junkie,광
mania,광
photoactive,광 능동적인
optoacoustic,광 에너지를 음파로 바꾸는
pantoscope,광각 렌즈
pantoscopic,광각 카메라
wideangle,광각의
photodetector,광검출기
pasteurism,광견병 예방 접종법
pasteurize,광견병 예방 접종을 하다
rabid,광견의
copywriting,광고 문안 작성
copywriter,광고 문안 작성자
leafleteer,광고 문안 작성자
bumpersticker,광고 스티커
drumbeater,광고 아나운서
adless,광고 없는
adcraft,광고 취급업자
publicist,광고 취급인
retronym,광고 표기가 일반화 된것
adperson,광고계의 사람
blurb,광고문구
adman,광고문안 제작자
adwriter,광고문안작성업자
adsmith,광고문안작성자
promo,광고선전
adland,광고업계
advertiser,광고자
ros,광고주가 아니라 방송국측에서 시간을 골라 을 방송하는 방식
handbill,광고지
placard,광고하다
coronagraph,광관의
touristry,광광 여행
photosphere,광구
broadgauge,광궤의=
craze,광기
insanity,광기
madness,광기
wacky,광기가 있는
photodisintegration,광기변
brainsick,광기의
insane,광기의
maddening,광기의
phototonus,광긴강
burnish,광나다-광택
broadness,광대
illimitability,광대
immensity,광대
vastitude,광대
vastness,광대
babiesbreath,광대나물
gypsophila,광대나물
henbit,광대나물
immeasurability,광대무변
zygomatic,광대뼈
wideband,광대역
photometry,광도 측정
photometric,광도 측정의
photometer,광도계
canton,광둥
cantonese,광둥 말의
bedevilment,광란
carnival,광란
nympholepsy,광란
raving,광란
fader,광량 조절기
actinometer,광량계
actinometry,광량측정
carnallite,광로석
photoluminescence,광루미네슨스
vastly,광막하게
lode,광맥
pinch,광맥이가늘어지다
lucidity,광명
minium,광명단
illuminate,광명을 던지다
microstructure,광물 등의 구조
mineralizer,광물 채집자
mineralize,광물을 채집하다
mineralogy,광물학
mineralogical,광물학의
mineralogist,광물학자
photovoltaic,광발전의
reeve,광부 감독
playday,광부 등의 휴업일
photofission,광분열
photolysis,광분해
seigniorage,광산 채굴료
royalty,광산사용료
irradiation,광삼
capriccio,광상곡
rhapsody,광상곡
rhapsodize,광상곡을 짓다
rhapsodist,광상시작자
extravaganza,광상적작품
photochromism,광색성
photochromic,광색성의
photopigment,광색소
photobiology,광생물학
ore,광석
crystals,광석
photophobia,광선 공포증
phototherapy,광선 요법
photophone,광선 전화기
radiophone,광선 전화기
lidar,광선레이다
beamy,광선을 방사하는
radiac,광선의
lightstruck,광선이 들어간
lightproof,광선이 안 통하는
penciled,광속 모양의
lighthour,광시
photobotany,광식물학
chauvinism,광신적 애국 주의
chauvinist,광신적 애국 주의자
chauvinistic,광신적 애국주의의
fanatically,광신적으로
weald,광야
wealden,광야의
photoproton,광양자
hacienda,광업소
wads,광역 데이터 전송 서비스
conurbation,광역도시권
wats,광역전화서비스
photodynamic,광역학적인
broadspectrum,광역항균스펙트럼의
photothermal,광열
photothermic,광열
amok,광열병
illuminant,광원
lightmonth,광월
petrolatum,광유
photocoagulation,광응고
lightday,광일의 1일에 상당
photon,광자
agoraphobia,광장공포증
recrement,광재
sullage,광재
scorify,광재로 만들다
cowpea,광저기
photomultiplier,광전 배증관
photoconductive,광전도의
photocurrent,광전류
photoelectric,광전의
photoelectrical,광전의
photoelectron,광전자
photoemission,광전자 방출
optoelectronics,광전자공학
radiant,광점
photoperiod,광주기
photoperiodism,광주기성
photoperiodicity,광주성
photoneutron,광중성자
photopolymeterization,광중합
tramroad,광차도
brilliance,광채
sheen,광채
luminant,광채를 내는
ornament,광채를 더하는 사람
balneotherapy,광천요법
balneology,광천학
lightsecond,광초
lustre,광택
smoothy,광택 고급지의잡지
glossiness,광택나는 것
ferrotype,광택사진
lackluster,광택없음
cire,광택을 낸
glossy,광택이 나는
lusterless,광택이 없는
polished,광택이 있는
unglazed,광택처리를 하지 않은
phototransistor,광트랜지스터
undulation,광파
wildness,광포
berserk,광포한
turbulent,광포한
optics,광학
photonics,광학
optician,광학기계상
photosynthesis,광합성
photosynthate,광합성물
photosynthesize,광합성하다
photodissociate,광해리시키다
mineralization,광화작용
photochemistry,광화학
nox,광화학 스모그의 발생원인
spaciousness,광활
extensiveness,광활
photokinesis,광활동성
photoreactivaion,광회복
effulgece,광휘
lucency,광휘
luminance,광휘
radiance,광휘
refulgence,광휘
exultation,광희
rapture,광희
nympholept,광희하는 사람
unruled,괘선이 없는
scandalously,괘씸 할 만큼
doggone,괘씸하게
resent,괘씸하게 생각하다
blankety,괘씸하게도
flipping,괘씸한
invidious,괘씸한
offenseful,괘씸한
outrageous,괘씸한
reprehensible,괘씸한
decently,괜찮게
unsolicited,괜한
hoe,괭이
oxalis,괭이밥
oxalic,괭이밥의
pulaski,괭이와 도끼를 합친 도구
corm,괴경
tubercle,괴근
bizarrerie,괴기
teratology,괴기담
antick,괴기한
floss,괴깔
fluff,괴깔
fluffy,괴깔의
eelpout,괴또라지
ail,괴로와하다
baptism,괴로운 시련
untroubled,괴로움을 안 당하는
disencumber,괴로움을 제거하다
afflicting,괴로워하는
pestering,괴로워하는
clog,괴롭게 하다
embattled,괴롭혀지는
tease,괴롭히기
distressing,괴롭히는
harassing,괴롭히는
vexation,괴롭힘
puppet,괴뢰
debacle,괴멸
discomfiture,괴멸
chimera,괴물
freak,괴물
monstrosity,괴물
eccentricity,괴벽
crotchety,괴벽스러운
oddball,괴벽스런 사람
basilisk,괴사
debridement,괴사조직제거
singularity,괴상
conglomeration,괴상집적
creepy,괴상하다
wierd,괴상하다
oddlooking,괴상한
peculiarly,괴이하게
dingaling,괴짜
eccentric,괴짜
weirdie,괴짜
bloomery,괴철공장
goethe,괴테
goethean,괴테 숭배자
hypospray,괴하분사기
scorbutic,괴혈병
scorbutus,괴혈병
scurvy,괴혈병
antiscorbutic,괴혈병 치료의
scurvied,괴혈병에 걸린
stagnation,굄
roaring,굉굉히 울리는
bitching,굉장한
eyepopping,굉장한
awfulness,굉장함
pier,교각
associability,교감성
cachet,교갑
capsule,교갑
curricular,교과과정의
textbookish,교과서 식의
teachware,교구
extraparochial,교구 관할외의
rector,교구목사
parishioner,교구민
vestryclerk,교구서기
incardinate,교구에 입적시키다
heritor,교구의 토지소유자
parochialism,교구제
parochiality,교구제
parochial,교구제도
anticlerical,교권 개입에 반대하는
lecturing,교단
alternant,교대 함수
alternatively,교대로
alternately,교대로
interchange,교대시키다
rotational,교대의
stopgo,교대적 경제 조정책
initiator,교도자
bridging,교락
disconcertion,교란
disturbances,교란
disturbed,교란되다
ruffled,교란되다
raider,교란자
sympatholytic,교람 신경 차단의
drill,교련
drilling,교련
pasteup,교료지를 붙인 대지
dogmatics,교리론
unprincipled,교리를 배우지 않은
catechist,교리문답교사
catechetical,교리문답의
catechistic,교리문답의
undogmatic,교리에 얽매이지 않는
dogmatic,교리의
doctrinism,교리지상주의
pragmatical,교만스러운
overweening,교만한
prideful,교만한
trees,교목
arboreal,교목성
cleverness,교묘
subtlety,교묘
skillful,교묘하다
felicity,교묘함
ably,교묘히
copulation,교미
horsing,교미기의
prenuptial,교미전의
spiculum,교미침
mating,교미하다
agitator,교반기
shaker,교반기
stirrer,교반기
hybridism,교배
hybridize,교배시키다
handbook,교본
consignation,교부
rendering,교부
patrology,교부 유서집
grantinaid,교부금
patristic,교부의
patristical,교부의 저서의
deliverer,교부자
grantor,교부자
instigation,교사
barringout,교사 배척
untutored,교사에게 배우지 않은
paraprofessional,교사의 조수
barratry,교사죄
solicit,교사하다
garrotter,교살자
strangle,교살하다
intersection,교선
negotiatory,교섭의
takeitorleaveit,교섭의 여지가 없는
negotiator,교섭자
pectin,교소
antiphon,교송가
tuitional,교수 의
professorial,교수다운
didactics,교수법
pedagogics,교수법
hangman,교수형 집행리
garrote,교수형에 처하다
gibbet,교수형에 처하다
unhanged,교수형에 처하지 않은
gallowsripe,교수형에 처해야 할
professorate,교수회
rapport,교신
recitation,교실 과업시간
classwork,교실 학습
bildungsroman,교양소설
faubourg,교외
outskirts,교외
suburbanity,교외
suburbia,교외
suburbanize,교외화하다
communion,교우
companionship,교우
fellowship,교우
sodality,교우
gaudy,교우대회
collagenolytic,교원 분해성의
collagen,교원질
educationese,교육 관계자 용어
educrat,교육 관료
unbred,교육 받지 않은
edbiz,교육 산업
ea,교육 연령
gentlemanly,교육 잘 받은
dewey,교육가
educationist,교육가
instructional,교육상의
intern,교육실습생
educatory,교육에 도움이 되는
teachbility,교육용으로 알맞음
uninformed,교육을 받지 않은
unschooled,교육을 안 받은
informative,교육적인
instructive,교육적인
indocile,교육하기 힘드는
habilitate,교육하다
ed,교육학 석사
pedagogic,교육학의
pedagogical,교육학의
educable,교육할 수 있는
ineducable,교육할수 없는
tenets,교의
dastur,교의 고승
doctrinal,교의의
subprincipal,교장 대리
bellgerence,교전
belligerency,교전
beligerent,교전국
belligerent,교전자
nodical,교점의
precopulatory,교접에서는
copulate,교접하다
schoolyard,교정
emendation,교정
recension,교정
redress,교정
remediation,교정
corrective,교정물
corrigent,교정약
proofreader,교정원
emendatory,교정의
revisory,교정의
reviser,교정자
revisor,교정자
proofread,교정하다
rectify,교정하다
irredeemable,교정할수 없는
irreformable,교정할수 없는
dealing,교제
dissocialize,교제를 싫어하게 하다
unsociable,교제를싫어하는
expenseaccount,교제비의
unsociability,교제하기 싫어함
consort,교제하다
dogma,교조
dogmatism,교조주의
hierarch,교주
sheikh,교주
valencia,교직나사
ac,교직양용의
dc,교직양용의
colloid,교질
micelle,교질 입자
crosslight,교차 광선
uncross,교차된 것을 풀다
intervein,교차시키다
intersect,교차하다
conglutination,교착
agglutinative,교착성의
adhesive,교착성의
conglutinative,교착성의
counterchange,교착시키다
conglutinant,교착하는
conglutinate,교착하다
antiphonary,교창집
codriver,교체운전자
coquetry,교태
coquettish,교태를 부리는
coquet,교태를 부리다
jamup,교통 체증
inbound,교통기관등 시내로 가는
welltraveled,교통량이 많은
holdup,교통의 정체
denomination,교파
sect,교파
nestorian,교파의
magisterium,교학권
foxy,교할한
sinfonia,교향곡
symphonist,교향곡
symphony,교향곡
symphonic,교향적인
garrotte,교형구
alternation,교호
edification,교화
cultured,교화된
culturist,교화자
edify,교화하다
moralize,교화하다
exchangeability,교환 가치
inclearing,교환 수입어음
switchboard,교환대
inconvertibilty,교환불능
changer,교환하는 사람
exchangeable,교환할 수 있는
interchangable,교환할 수 있는
interchangability,교환할수 있음
wiliness,교활
foxily,교활하게
twister,교활하게 속이는 사람
guileless,교활하지 않은
unartful,교활하지 않은
artful,교활한
insidious,교활한
rascally,교활한
scheming,교활한
sly,교활한
ultramontane,교황 절대권론자의
guelf,교황당원
popedom,교황령
vatican,교황정치
sidesman,교회 간사
ecclesiology,교회 건축학
ecclesiological,교회 건축학적인
churchy,교회 만능주의의
capitulary,교회 법령집
glebe,교회 부속지
churchman,교회 신자
churchwoman,교회 여신도
churchism,교회 의식의 고수
patrimony,교회 재산
impropriator,교회 재산을 보관하는 속인
pewage,교회 좌석료
vigil,교회 축일의 전날
churchless,교회가 없는
presbytery,교회내 성직자석
chapel,교회당
sacrilegious,교회를 침범하는
uncanonical,교회법에 의하지 않은
canonicity,교회법에 합치함
canonistic,교회법의
churchscot,교회비
cantorial,교회안 북쪽의
churchgoer,교회에 나가는 사람
churchgoing,교회에 나감
churchly,교회에 어울리는
communicant,교회원
pew,교회의 가족석
obedience,교회의 권위
