academic,대학의
micropopulation,미생물 개체군
micromachining,미세 기계 가공
microfilament,미세 섬유
micromorphology,미소 구조
microtexture,미소 구조
microcapsule,미소 캡슐
microtubule,미소관
microphysics,미시적 물리학
micmac,미크맥족
metrication,미터법 환산
tailer,미행자
mixer,믹서
sunfish,민물고기
wedge,밀어 제치다
freshrun,바다에서 강으로 방금 올라온
floorboard,바닥
windscreen,바람막이 유리
luff,바람부는 쪽으로 가다
windborne,바람으로 옮겨지는
caper,바람잡이
justness,바로 지금
fullpitched,바운드하지 않고 삼주문에 던져진
tor,바위산
weismannism,바이스만 설
hurdle,바자
pulse,박동으로 보내다
salvo,박수 갈채
scandal,반감
meshugazine,반권위적
floorcrossing,반대당에의 찬성 투표
reflective,반사적인
twofer,반액 할인권
inductive,반응을 유발하는
counterexample,반증
waver,반짝이다
sabotage,반항 행위
demivolt,반회전
footwell,발 밑 공간
treasuretrove,발굴재
launcher,발사대
footplate,발판
footrest,발판
suppress,발표하지 않다
tamp,밟아 단단하게 하다
moonblind,밤눈 어두운
floccus,방상의
flysheet,방수 외포
tailrace,방수로
floodgate,방출구
prohibit,방해하다
trafficator,방향 지시기
floatage,부유, 부력; 떠 있는 물건
flotage,부유, 부력
coulisse,배경
micketmouse,배경 음악을 넣다
shareout,배급물
tow,배를 끌기
makefast,배를 매어 두는 계선 부표
visa,배서하다
scupper,배수구
frogeye,백성병
interleave,백지를 삽입하다에놓다
mooncalf,백치
vantage,밴티지
cinch,뱃대끈
crane,뱃전의 팔 모양의 기중기
wicked,버릇이 나쁜
pupiparous,번데기를 낳는
propagation,번식
chastise,벌하다
latitude,범위
malice,범의
maffia,범죄 비밀 결사
transgress,범하다
legalism,법률 존중주의
calk,베끼다
log,베어내다
offset,벽단식으로 건축하다
mantelshelf,벽로 선반
landgrave,변경백
maggot,변덕
suburb,변두리 지역
jargon,변말
metamorphism,변성 작용
metamorphic,변성암
latrine,변소
malposition,변위
proteus,변하기 쉬운 물건
taint,병독
fodder,병사들
procesverbal,보고서
than,보다
upwards,보다 이상
pressshow,보도 기관에 보이다
forbearance,보류
ptisan,보리차
infantryman,보병
manipular,보병 중대 대원
prosthetics,보철술
canter,보통 구보로 가다
pugilistic,복서의
minidose,복용약
thicken,복잡하게 하다
mammon,재물, 부, 탐욕
tarsus,부골
manus,부권
kulak,부농
misdirection,부당 지시
malpractice,부당치료
slinky,부드럽고 몸에 꼭 맞는
hurtle,부딪히다
orphan,부모가 없는
momandpop,부부끼리 경영하는
outbuilding,부속 건물
moonlighter,부업을 하는 사람
hoot,부엉부엉울다
zenana,부인방
studied,부자연스런
foulbrood,부저병
embryoid,부정배
punka,부채
punkah,부채
inflate,부풀게하다
shuttle,정기 왕복 버스/열차; 셔틀; 왕복하다
subtreasury,분고
prism,분광
nimbus,분위기
numerator,분자
fractionalize,분할하다
puff,불다
ahimsa,불살생
fluoridizer,불소 처리제
forceland,불시착시키다
jealous,불신앙을 용서치 않는
lunge,불쑥 내밀다
flirtatious,불장난하는
flunk,낙제하다, 불합격하다; 실패하다
magot,붉은털원숭이
linchpin,비녀장
velure,비로드 솔
tumbleweed,비름속의 풀
flightmuscle,비상근
toed,비스듬이  박아 놓은
viola,비올라류의 옛날 악기
franctireur,비정규병
wring,비틀다
screwtop,비틀어 여는 마개
fighttest,비행 시험을 하다
flightnumber,비행편 번호
flyable,비행하기에 알맞은
puppetry,비현실적 인물
watertight,빈틈없는
prevenance,빈틈없는 배려
lessor,빌려주는 사람
icescape,빙경 빙원의 경치
luminous,빛나는
the,빠르면 빠를수록 좋다
chink,빠져나갈 구멍
downed,빠져든
transparent,빤히 들여다뵈는
toke,(속어) 한 모금; 피우다
wipe,빼다
usurp,빼앗다
bold,뻔뻔하다
brazen,뻔뻔하다
minaret,뾰족탑
inseminate,뿌리다
frothspit,뿜는 거품
throwaway,삐라
mortarboard,사각 모자
housemaster,사감
foulness,사나움
macho,사나이
furious,사납게 날뛰는
safari,사냥 여행
scalingladder,사다리
oracle,사람
manned,사람이 탄
lovein,사랑의 모임
leo,사자궁
scriptorium,사자실
pretopost,사전 사후 조사
limb,사직의 손
sumptuary,사치 금지령
lollipop,사탕
kaffir,사탕옥수수의 일종
subjectheading,사항 색인
tumbrel,사형수 호송차
tokay,산 포도
ovipositor,산란관
oxyacetylene,산소 아세틸렌 용접기
oxyhidrogen,산수소 용접기
thickset,산울타리
mosstrooper,산적
hillbilly,산지사람시골뜨기
marina,산책길
producing,산출하는
maieutic,산파술의
crawl,살금살금 다가가다
flicker,살랑거림
catamountain,삵쾡이
agenize,삼염화 질소로 표백하다
overflight,상공 비행
upperclass,상급의
adversary,상대방
manonman,상대방 선수를 1대1로 마크하는
taiga,상록 침엽수림
livery,상복
weed,상봉
overshot,상사식의
maxilla,상악골
actable,상연하기에 알맞은
hansa,상인 조합
pung,상자형 썰매
notch,새긴 금
reedy,새된
forethoughtful,생각이 깊은
throughput,생산
freemartin,생식 기능이 없는 암송아지
cooperate,서로 돕다
caterwaul,서로 아옹거리다
witness,서명하다
subscribe,서명하여 동의 하다
trizone,서부 독일의 미국
subroutine,서브루틴
lime,석회수
load,섞음질을 하여 독하게 만들다
fluffer,선로 청소부
ormazd,선신
hull,선체가 수평선 밑에 안보일 정도로 멀리
schema,선험적 도식
doxy,(고어) 교의, 독단; 정부
sadness,설구워진
clapper,설렁
illustrate,설명하다
lurid,섬쩍지근하게붉은
psychobiography,성격 분석적 전기
frig,성교하다
manhood,성년 남자 전체
flyoff,성능 비교 비행
madonna,성모 마리아
sacristan,성물 보관자
venereal,성병
sacramental,성사 중시의
lectern,성서대
vocal,성악
mandate,성직 수임 명령
provisor,성직 후이자에 임명된 사람
priestridden,성직자의 지배하에 있는
threeply,세 겹으로 꼰
leech,세로의 가장자리
seminole,세미놀 사람
velocipede,세발 자전거
vendeuse,세일즈를 담당하는 여자
lavage,세척
matrix,세포 간질
micro,미소,소
minipark,소공원
minifestival,소규모 연회
saltcellar,소금 그릇
proventriculus,소낭
wahine,소녀
catamite,소년
setup,소다수
microcephaly,소두증
cadence,소리
tum,소리
tunic,소매 짧은 윗도리
wasting,소모성 질환
urinal,소변기
kwahiorkor,소아 영양 장애 질환
kvutzah,소집단농장
micronucleus,소핵
micropolis,소형 도시
minisub,소형 잠수함
mininuke,소형 핵무기
remontoire,속도 조절 톱니바퀴
tacho,속도의 뜻
hoax,속이다
laity,속인
laic,속인의
territorial,속지주의
donny,(방언) 손
loop,손  공중제비하다
lavabo,손씻는 예식
grope,손으로 더듬어 나아가다
tickle,손으로 잡다
manrope,손잡이 밧줄
sericeous,솜털로 덮여 있는
upsurge,솟구치다
iconoscope,송상관
margarite,쇄상 정자
manacle,쇠고랑
tonlit,쇠스커트
marasmus,쇠약
sunnite,수니파 교도
leverage,수단
marabout,수도사
transept,수랑
floodometer,수량 기록기
wallow,수렁
tenure,수명
timber,수목
pressgang,수병 강제 징병대
keeper,수비자
ox,수소
operating,수술 교실
sounding,수심
watermark,수위표
lens,수정체
flex,수축시키다
jack,수컷
wrangler,수학 학위 시험 1급 합격자
testee,수험자
hospice,숙박소
adaptable,순응성 있는
maladapted,순응이 안되는
tagger,술래
puffed,숨이 차서
racker,숫자 복권
linger,쉬이 사라지지않다
layup,(농구) 레이업 슛; 휴항
humble,스스로를 낮추어
gall,스쳐서 벗겨진 상처
triphammer,스프링 해머
zax,슬레이트 자르는 도끼 공구
addictive,습관이 되는
moisturize,습기를 주다
wile,시간을 이럭저럭 보내다
rural,시골의
samara,시과
malignant,시대의 왕당원
wilt,시들다
testdrive,시승하다
prochronism,시일 전기
propositus,시조
prosector,시체 해부자
tailgating,시합 전후에 경기장 밖에서 가지는 야외 파티
trial,시행 착오
testfire,시험 발사하다
profmark,시험필 표지
wither,식다
messboy,식당 급사
lazaretto,식료품실
terrapin,식용거북
verjuice,신 과즙
liberty,신교의 자유
godfearing,신을 두려워하는
freshperson,신입생
signalbox,신호소
chamber,(공공 목적의) 방, 회의실; 의회
silurian,실루리아 사람의
laden,실린
heroic,실물보다 큰
misplay,실수
thread,실에 꿰다
utility,실요 본위의
silkscreen,실크스크린 인쇄
turkey,실패작
followthrough,실행
inquest,심리
psyops,심리조작
footstock,심압대
mindset,심적 경향
snuffers,심지 자르는 가위
singlebreasted,싱글의
flivver,싸구려 자동차
pullulate,싹트다
punk,썩은 나무
chaff,썰다
loose,쏘다
sconce,쑥 내민 촛대
talky,쓸데없는 대화가 많은
husk,쓸데없는 외피
operculum,아감딱지
vide,아래를 보라
mandible,아래턱
trespass,아무의 영역을 침범하다
acheulean,아슐기
vertiginous,아찔아찔하는
levee,아침 알현
matutinal,아침의
maisonette,아파트
cablet,아홉 겹 드린 밧줄
malignance,악성
misappropriate,악용하다
megafog,안개 경보 장치
fogbroom,안개 소산 장치
marshal,안내하다
fussily,안달복달하여
saddle,안상부
introvert,안으로 향하게 하다
safeconduct,안전 통행증
moderate,알맞은
temper,알맞은 조합정도
procurement,알선
alsatian,알세이셔의
psychobabble,알아 듣기 어려운 심리학 용어
fumed,암모니아로 찐
thug,암살단원
ledge,암초
landslide,압도적 승리
prestressed,압축 응력을 받은
forewing,앞날개
frontwheel,앞바퀴에 작용하는
lovelock,애교 머리카락
footslog,애써 나아가다
foster,애정을 주는
aftersales,애프터 서비스
accessorize,액세서리를 달다
mockingbird,앵무새
fussy,야단법석하는
flybynight,야반도주하는 사람
bromcho,야생마
veg,야채
freeboot,약탈하다
sag,약해지다
prettily,얌전하게
cabretta,양가죽
ampulla,양손잡이가 달린 병
fosterage,양육
fontina,양젖 치즈
suntrap,양지바른 곳
flocculate,양털 뭉치 모양으로 하다
hosier,양품상
gutter,얕은 도랑
yoke,어깨
shrug,어깨를 으쓱하다
scapula,어깨에 결치는 수사의 옷
canal,어떤 방향으로 유도하다
highchair,어린이 의자
motherhood,어머니
matri,어머니의 뜻
procreator,어버이
hinge,어지러워
intrude,억지로 밀어넣다
langue,언어
scimitar,언월도
hostage,언제 잃을지 모르는
whatnot,얹어 놓는 선반
visor,얼굴 가리개
macle,얼룩
tusk,엄니
ma,엄마
thumbsucking,엄지손가락을 빠는 버릇
mooning,엉덩이를 내보이기
scribbler,엉터리 문인
prostrate,엎드리다
levy,에 과세하다
latch,에 꼭 달라 붙다
heed,에 주의하다
nacell,엔진실
thus,여기까지는
mileage,여비 수당
midinette,여자
vixen,여자
maillot,여자 수영복
freedwoman,여자 자유민
halter,여자용 운동 셔츠
caravan,여행자단
liaison,연결 발음
hustings,연단
ageism,연령차별
fuelefficient,연료 효율이 좋은
oration,연설
strip,연재만화
ladder,연줄
thermosetting,열경화
oryx,영양
tropholasm,영양 원형질
thane,영주
fluence,영향력
materialize,영혼을 물질화 하여 눈에 나타내다
fourwall,영화관을 세내어 자주 상영하다
forecaster,예보관
prestocking,예비  저장
formbook,예상
foreordination,예정
misdescription,오기
misentry,오기
wander,오락가락하다
scissoring,오려낸 것
snoot,오만상
thrill,오싹하는 느낌
ozonize,오존화 하다
household,온 집안 사람
lasso,올가미
forwardness,올됨
heave,올림
mange,(동물의) 옴, 피부병
omnibus,옴니버스 영화
latitudinarian,옹졸하지 않은
gone,와 사랑하여
whoop,와와 떠들어대다
wahabi,와하비파
foreignflag,외국 국적의
flychaser,외야수
outcry,외침
manta,외투
topcoat,외투
amice,왼팔 완장
jordan,요르단 왕국
yosemite,요세미티 계곡
sum,요점
keel,용골
toilettrain,용변을 가리게 하다
forgiving,용서하는
gloss,용케 숨기다
wanton,우거진
uranium,우라늄 원자로
joss,우상
talentmoney,우수 성적 특별 상금
milkshed,우유 공급 낙농지
mailing,우편물 분리대
mailcart,우편차
metrics,운율학
fulminant,울리는
laughably,웃다
masculinize,웅성화하다
telecontrol,원격 조작
telearchics,원격 조종
manuscript,원고
metaphysic,원리 체계
maturation,원숙
protopathic,원시적인
kindergartener,원아
wellspring,원천
circus,원형 흥행장
menorrhoea,월경
moonstrike,월면 착륙
mondayize,월요일로 바꾸다
wedgwood,웨지우드 도자기
gizzard,(조류의) 모래주머니
hereinbefore,위에
pseudepigrapha,위전
pseudopod,위족을 가진 원생동물
remit,위탁하다
overdress,윗도리
howl,윙윙 휘몰아 치다
testify,유감의 뜻을 표하다
synagogue,유대인 집회
frit,유리원료
fritt,유리원료
breast,유방
milkiness,유상
mastitis,유선염
meteoritics,유성학
latex,유액
manrate,유인 비행에 안전하다고 증명하다
proposition,유혹하다
torah,율법
matrimony,으뜸패 과 Queen 을 짝짓는 놀이
matador,으뜸패의 일종
martyr,으로 괴로워하는 사람
pirouette,으로 급선회하다
trail,으로 뻗침
hideout,은신처
jive,은어
convulse,을 경련시키다
vaunt,을 뽐내다
opinion,을 좋게생각하다
whistle,을 휘파람을 불어 부르다
intone,읊다
moo,음매 울다
prog,음식물
minnesinger,음유시인
minstrel,음유시인
agglutinogen,응집원
sheikdom,의 영지
conquian,의 일종
iatro,의사
watered,의제 자본
junta,의회
fullmouthed,이가 다 난
octant,이각 45도의 위치
theoretician,이론에 밝은 사람
liftoff,이륙
gnash,이를 갈다
forename,이름
verso,이면
iberian,이베리아 사람의
misevolution,이상 증식
chromatism,이상변체
yarn,이야기
harness,이용하다
markup,이윤
forprofit,이윤을 목적으로 운영되는
inmigration,이주
inmigrate,이주해 오다
wane,이지러짐
hereinafter,이하에
malapropism,익살맞은 오용
kernel,알맹이, 낟알; (사상의) 핵심
manmade,인공위성
miranda,인권 옹호적인
indus,인더스강
manpower,인력 유효 총인원
humane,인문 과학
prosopography,인물 연구
turnover,인사 이동
salutatory,인사말
salutatorian,인사말을 하는 학생
register,인상을 남기다
pressroom,인쇄실
markdown,인하
acronical,일몰에 나타나는
accredited,일반적으로 인정된
checker,일시 보관자
flirtation,일시적 흥미
monopropellant,일원 추진제
polyandry,일처다부
orchestra,일층석
monochord,일현금
limbo,임보
landgirl,임시 여자 농장 노동자
lashup,임시변통
makedo,임시변통의
masterless,임자 없는
hush,입다물게 하다
mastermind,입안 지도하다
icing,입힌 설탕
inkwell,잉크병
ineligible,자격이 없는
tachograph,자기 속도계
magnetosphere,자기권
magnetics,자기학
linotype,자동 주조식 자기
crate,자동차
turtleneck,자라목깃
helve,자루
casserole,자루 달린 냄비
saar,자르강
lop,자르다
tablehop,자리를 옮기며 지껄이다
sisterly,자매어
violet,자선
thruster,자세 제어 로케트
scion,자손
stew,자업자득으로 고생하다
unlabored,자연스런
latitudinarianism,자유주의
homestead,자작농장
freewheel,자재륜
workbook,작업 일람표
sadism,잔학
topper,잘 보이려고 위에 얹은 좋은 것
misfuel,잘못 급유하다
maladapt,잘못 응용하다
mishit,잘못 치다
horsebean,잠두콩
pantie,잠방이
latent,잠복기
lumber,잡동사니
tug,잡아 당기다
manofallwork,잡일 하는 사람
mongrelize,잡종화하다
miscellanea,잡찬
pricer,장난 손님
sweep,장대
tailpiece,장말
telethon,장시간 텔레비전 프로그램
longplay,장시간연주의
twirl,장식 글씨
fourragere,장식술
footcloth,장식용 천
aigrette,장식털
lesion,장애
visitor,장학사
jeu,재담
reradiative,재방사할 수있는
agrotype,재배 제품
jackknife,잭나이프
fobs,저 궤도 폭격 체제
sweated,저임금 노동
laid,저장의
walkdown,저지대 상점
vocation,적성
shipment,적하
telpher,전기 케이블카
crossheading,전단 폭을 꽉 채우는 타이틀
transmit,전도하다
vernacular,전문어
malleable,전성이 있는
schussboom,전속력으로 직활강하다
metaphrast,전역자
metagalaxy,전우주
membershipwide,전원 투표
magnetohydrodynamics,전자 유체 역학
transition,전조
forwardbased,전진 기지에 배치된
subtenant,전차인
foreplay,전희
messianism,절대적 지지
stringhalt,절름증
maculae,(의학) 반점, 망막 황반
overthecounter,점두 판매의
lamplighter,점등부
occupancy,점유
foldout,접어 넣은 페이지
inoculation,접종
orthodox,정교의
legitimate,정극
alignment,정렬
tabletopper,정물 사진
tipster,정보제공자
orthogonal,정사영
psychoprison,정신 교도소
mattoid,정신 이상자
snarlup,정체
orthopedic,정형외과
circumstantial,정황적인
prorogue,정회되다
opalesce,젖빛광택을 내다
primo,제1부
chevet,제단 후방의 반원형으로 된 부분
trainman,제동수
pupil,제자
misthread,제자리가 아닌 데에다 틀다
fourchette,제차
jell,젤리
matchmark,조립 부호
irrandiance,조사
manes,조상의 영혼
cave,조심하라
manicdepressive,조울증의
turret,조종석
mintmark,조폐소를 나타내는 각인
tacking,조항 부가
floruit,존명기
tallish,좀  큰
bay,좀 넓은 곳
mediatize,종속시키다
suzerain,종주
sickish,좋지 않은
seating,좌석
skeleton,좌흥을 깨뜨리는 것
clinch,죄기
lanyard,죔줄
crownland,국유지, 왕실 영지
shire,(영국) 주(州), 카운티
nozzle,주둥이
gilled,주름이 있는
sac,주머니 모양의 부분
indoctrination,주입
magnetotaxis,주자성
magnetotactic,주자성의
obtrude,주제넘게 나서다
scarlet,주홍빛
caulis,줄기
tightrope,줄타기 곡예사
midpoint,중간
mesoscale,중간 규모의
syncopate,중간의 음을 생략하다
mandarinate,중국 관료
chophouse,중국의 세관
middlescence,중년기
addiction,중독
midwestern,중서부의
manatarms,중세의 병사
keyman,중심 인물
midline,중심선
mesopelagic,중심해에 서식하는
centralization,중앙 집권제로 하다
fundamentality,중요성
cancel,중지하다
manyplies,중판위
fryup,즉석 볶음 음식
improvise,즉석에서 짓다
tup,증기 해머의 머리부분
sauna,증기욕
accretion,증대
aggrandizement,증대
traverse,지그재그 항로
wag,지껄이다
overleap,지나치게 하여 실패하다
fulsome,지나친
mace,지대지 핵 유도탄
landtoland,지대지의
orientation,지도
machine,지도부
countryman,지방의 주민
suspend,지불을 정지하다
pungle,지불하다
kiwi,지상 근무원
adytum,지성소
holy,지성소
talkathon,지연 연설
tartarus,지옥
marcescent,지지않고 시드는
samizdat,지하 출판
intuitional,직각적인
lineal,직계존속
ministration,직무
textile,직물
vector,진로를 인도하다
progressionism,진보론
encouragement,진흥
interpellation,질문
scorch,질주하다
inflict,짊어지우다
seneschal,집사
focalize,집중시키다
doornail,징모양의 큰 못
fogbound,짙은 안개로 오도 가도 못하는
marc,짜낸 찌꺼기
wringer,짜는 기계
windblown,짧게 잘라 옆에 착 붙인
kirtle,짧은 겉옷
miniski,짧은 스키
floater,(낚시) 찌; 유동인구; 부유물
lee,찌끼
foin,찌름
majority,대다수, 과반수
marbling,차돌박이
teatime,차마시는 시간
jilt,차버리다
conversion,차환
frontend,착수 준비의
puna,찬바람
thwack,찰싹 때리다
godown,창고
versicle,창화의 단구
thill,(마차의) 채, 멍에 채
outfit,채비
foodgatherer,채집민
foodgathering,채집생활의
proctorize,처벌하다
novice,처음 출장하는 말
abovo,처음부터
tepee,천막집
windbroken,천식에 걸린
scholarch,철학 학교 교장
majordomo,청지기
listenerin,청취자
pulsate,체질하여 가려내다
tsetse,체체파리
secondmark,초를 나타내는 부호
microtransmitter,초소형 전자 송신기
micromodule,초소형 전자 회로
projet,초안
foremilk,초유
trolley,촉륜
sole,총대리점
pullthrough,총신 청소용 줄
presidium,최고 회의 간부회
lachrymatory,최루가스
teargas,최루가스를 사용하다
optimum,최적조건
subjoin,추가하다
malleus,추골
sachem,추장
loll,축 늘어지다
vernalize,춘화 처리하다
printout,출력정보
nautch,(인도의) 전통 무용
knockon,충격에 의해 방출되는
tupelo,충충나무과의 큰 나무
workday,취업시간
workhouse,취역소
lowrise,층수가 적은
maul,치다
madetomeasure,치수를 재어 맞춘
mandamus,칙서
matey,친구
kith,친척
mattress,침대요
wagonlit,침대차
macerate,침연시키다
foggily,침침하여
monte,카드 도박
mixology,칵테일 만드는 기술
kopeck,코페이카
kola,콜라
proa,쾌속 범선
ottoman,쿠션 달린 긴의자
tramp,쿵쿵걷다
fullthroated,크게 소리치는
snout,크고 못생긴 코
scythe,큰 낫
maintopgallantmast,큰 돛대의 돛대
tomtom,큰 북
kier,큰 솥
kea,큰 앵무새
voluminous,큰 책의
mainspring,큰 태엽
scarehead,큰 표제
whacker,큰사람
kikuyu,키쿠유토인
override,타고 넘다
downanddirty,타락하고 더러운
forereach,타력으로 나아가다
tar,타르를 칠하고 새털을 온몸에 꽂다
tamil,타밀 사람
tass,타스 통신사
tire,타이어
timetravel,타임터널 여행
takahe,타케이히
mendicant,탁발 수도사
torrid,격렬한, 몹시 더운, 열대의
carbonize,탄소를 칠하다
talipot,탈리폿야자
lipography,탈자
prolapse,탈출
oust,탈취
molt,탈피하다
taekwondo,태권도
satrap,태수
heliocentric,태양 중심설
tackling,태클 동작
slash,터놓은 자리
puggaree,터반
puggree,터반
trudge,터벅터벅 걷다
turban,터번
luge,터보건 썰매
uturn,유턴, 유턴하다; (정책의) 180도 전환
terry,테리천
taillight,테일라이트
megamachine,테크놀로지 지배의 거대 사회
technicolor,테크리컬러식 천연색 촬영법
marquee,텐트
tuscan,토스카나식인
toast,토스트하다
tallage,토지 사용료
adscript,토지에 부속된
torch,토치램프
tangy,톡 쏘는, 톡 쏘는 맛의
acrid,톡 쏘는 스미는
synchromesh,톱니바퀴를 동시에 맞물게 하는 장치
fringed,톱니처럼 째진
shaft,통로
walkway,통로
telstar,통신위성
lodgment,퇴적
superannuate,퇴직시키다
floodlighting,투광 조명
casque,투구
clarity,투명함
flinger,투수
vision,투시력
toreador,투우사
tupiguarani,투피 토인
tudor,튜더 왕가의
halfcaste,트기
trustbuster,트러스트를 해산하는 사람
fullcustom,특별 주문의
idiosyncrasy,특이 체질
caulk,틈에 뱃밥 등을 채우다
license,파격
hun,파괴자
grub,파내다
lumpy,파도가 일고 있는
lush,파릇파릇하게 우거진
tuner,파장 조정기
dispatch,파출
makeready,판고르기
spell,판독하다
judicial,판례
judgemade,판례법
priceshop,판매가를 조사하고 다니다
maulstick,팔 받침
prostitute,팔다
fritillary,패모 속의 식
sinkhole,팬 땅
tauten,팽팽하게 켕기다
transcribe,편곡하다
formate,편대비행하다
proglottid,편절
windage,편차
gunned,포를 갖춘
marram,포아풀과의 식물
forecourt,포어 코트
hardstand,포장 주기장
fourgon,포장 짐수레
foreskin,포피
inclusive,포함하여
inflation,폭등
nosedive,폭락하다
toboggan,폭락하다
crisscross,십자 무늬; 교차하다; 십자 모양의
obverse,표면
self-effacement,겸손, 삼가는 태도
telltable,표시
hob,표적기둥
timezone,표준 시간대낡은
mantlerock,표토
uncap,표하며 탈모하다
satisfy,풀게하다
relax,풀다
starch,풀을 먹이다
tanager,풍금조
skyhook,풍선
puree,퓨레로 만들다
fusilier,퓨질리어, 소총수
fusilier,퓨질리어, 소총수
francicize,프랑스어로 하다
fraise,프레즈반
proam,프로와 아마추어의 경기
masonry,프리메이슨 조합
floorshift,플로어 시프트
fumigate,피우다
footer,피트인 사람
zip,지퍼; 빠르게 움직이다; 닫다
downcycle,하강기
fourflusher,하는 사람
skim,하는 사람
manservant,하인
savant,학자
clutch,한 배
quire,한 첩
flier,한단
flyer,한단
layout,한벌
morsel,한입
tidbit,한입
sinecure,한직
tamper,함부로 변경하다
junction,합류점
monovalence,항균력
surrender,항복하다
mate,항해사
lieutenant,해군 대위
manumit,해방 하다
prosect,해부하다
marisat,해사 통신 위성
lido,해수욕장
overseas,해외교포
zapper,해충 구제기
sunbonnet,햇볕 가리는 모자
tan,햇볕에 태우다
interline,행간에 글씨를 써넣다번역
utter,행사하다
sin,행운에 감사하지 않다
magistrate,행정 장관
uplift,향상시키다
loin,허리 고기
gadgetry,허섭쓰레기
pseudepigraphy,허위 기자 이름 붙이기
mantua,헐거운 여성용 가운
thundery,험상궂은
pseudopodium,헛발
heliox,헬륨과 산소의 혼합 기체
progressist,혁신주의자
microneedle,현미 침
microculture,현미경 관찰용의 배양
agon,현상 경기회
veridical,현실로 일어나는
morphemics,형태소론
vamp,호리다
nancy,호모
taffeta,호박단
prurience,호색
pruriency,호색
struma,혹 모양의 돌기
overdrive,혹사하다
marriageable,혼기
mixing,혼성
floaty,홀수가 얕은
prominence,홍염
prominency,홍염
gay,화류계
vanity,화장대
maquillage,화장품
protraction,확대 제도
gild,환약을 금빛으로 칠하다
hep,환한
volplane,활공
torpid,활발치 않은
aquaplane,활주판
millenarianism,황금 시대
maharaja,회교 군주
masjid,회교 사원
moolvee,회교 율법학자
mastic,회반죽
maud,회색 격자무늬의 모직 어깨걸이
messmate,회식 동료
confravision,회의용 텔레비전
turntable,회전반
tryst,회합
frowst,후끈함
tailboard,후미판
hindsight,후부가늠자
lifo,후입선출법
hoop,후프
million,훌륭하여
swish,휘두르다
timeout,휴식
layoff,휴지기간
stanch,흐름을 막다
calamander,흑단의 일종
unmoved,흔들리지않는
hatched,흙다
malabsorption,흡수 불량
sauterne,흰 포도주
hippocrates,히포크라테스
steam,힘껏일하다
pumphandle,힘있게 아래위로 흔들어 악수하다
decibar,0.1바
bushel,01말부셀 되
boliviano,1 볼리비아노 화
zloty,1 즐로티 경화
bradbury,1 파운드 지폐
making,1 회의 제작량
quartermiler,1/4마일 경주 선수
firkin,1/4배럴 상당의 영국의 용량단위
centenary,100년간
centennial,100년간의
centurial,100년의
megabuck,100만 달러
megadeath,100만 명의 죽음
megameter,100만 미터
millionfold,100만 배의 토
megacycle,100만 사이클
megohm,100만 옴
megacurie,100만 퀴리
megaton,100만 톤
megahertz,100만 헤르츠
microsecond,100만분의 1초
nonillion,100만의 아홉
centuplicate,100배
centuple,100배의
centesimal,100분의 1의
centenarian,100세의
decagram,10그램
decennary,10년간
decennium,10년간
decennial,10년간의
tenspot,10년의 형
sawbuck,10달러 지페
tenner,10달러 지폐
decimviral,10대관의
decemvirate,10대관의 직
teenybopper,10대의 소녀
bobbysoxer,10대의소녀
decaliter,10리터
lac,10만
plum,10만 파운드의 돈
decahedral,10면이 있는
decameter,10미터
decuple,10배
tenfold,10배의
tenspeed,10변속의 자전거
deci,10분의 1의 뜻
ninetenths,10분의 9
dime,10센트 은화
abampere,10암페어
milliard,10억
gigabit,10억 비트
gigahertz,10억 헤르츠
nano,10억분의 1
begohm,10억옴
decasyllabic,10음절
decasyllable,10음절
decadal,10의
googol,10의 100제곱
rounded,10의배수로 표시되는
frankpledge,10인조
decastere,10입방 미터
decathlon,10종경기
decathlete,10종경기 선수
tenpounder,10파운드 무게의 물건
hendecagon,11각형
undecagon,11각형
elevenfold,11배의
hendecasyllable,11음절
hendecasyllabic,11음절의
halfroyal,1212인치 크기의 마분치
quaterquicentennial,125주년 기념일
dodecagon,12각형
dozen,1다스, 12개, 다수
twelvemonth,12개월
zodiacal,12궁의
dodecahedron,12면체
twelvefold,12배로
twelfth,12분의 1
moron,12세인 성인
semidiurnal,12시간 마다의
serialism,12음 기법
serialist,12음 작가
dodecaphony,12음 작곡법
twelvetone,12음의
dodecasyllable,12음절의 시행
duodecimal,12의
duodenary,12의
duodecimo,12절판
twelvepenny,12펜스의
thirteenth,13분의1의
subteen,13세 이하의 소녀
barmitzvah,13세가된 유태교의 남자
ides,13일
sonnet,14 행시
fourteenth,14분의 1의
zohar,14세기경의 유대 신비교의 경전
trecentist,14세기의 이탈리아 문학가
fortnight,14일
quatorzain,14행시
sesquicentennial,150년
quindecagon,15각형
quarterbell,15분마다 울리는 시계의 종
quattrocento,15세기
xylograph,15세기의
quattrocentist,15세기의 예술가
quindecennial,15주년의
sixteenth,16분의1
sixteen,16의
sixteenmo,16절판
hexadecimal,16진
seventeenth,17번째의, 열일곱 번째
seventeenth,17번째의, 열일곱 번째
seventeen,17의
swingover,180도 전환
hundredandeightydegree,180도의
turnaboutface,180도의 전환
scipio,185?-129 .C가 있음)
eighteenth,18분의1
macaroni,18세기 영국에서 이탈리아를 숭상하던 멋쟁이
eighteen,18세의
eithteenmo,18절
octodecimo,18절판
nineteen,19개 사람의
nineteenth,19분의 1의
nihilism,19세기 러시아의 허무주의
yellowback,19세기후반의 싼 성정적 소설
highteen,19세의
