unstained,더렵혀지지않은
biliteral,두 글자의
bimetallic,두 금속으로된
twoway,두 길의
bilingual,두 나라 말로 쓴
bilinguist,두 나라 말을 할 줄 아는 사람
spraddle,두 다리를 벌리고 걷다
ambidextrous,두 마음을 품은
doublehearted,두 마음이 있는
ambidexter,두 마음이 있는 사람
bifacial,두 면이 있는
biform,두 모양을 가진
riffle,두 몫으로 나누어 양쪽에서 엇갈리게 섞다
bicorporal,두 몸체를 가진
bipedal,두 발 동물의
hopple,두 발을 묶다
bidialectal,두 방언을 사용하는
doublerefine,두 번 정련하다
rowen,두 벌베기
dimerous,두 부분으로 갈라진
thirdhand,두 사람의 소유자를 거친
brocket,두 살 난 붉은 수사슴
smolt,두 살 된 연어
hermaphrodite,두 상반된 성질의 소유자
dichromatic,두 색의
twotone,두 색의
bifoliolate,두 소엽을 가진
darobokka,두 손바닥으로 두드리는 북
akimbo,두 손을 허리에 대고
doublewedding,두 쌍의 합동 결혼식
withers,두 어깨뼈 사이의 융기
accouplement,두 원주를 접근시키는 공법
biracial,두 인종의
bilabiate,두 입술 모양의
twodigit,두 자리의
doubleton,두 장만 짝이 맞는 손에 잡은 패
openarmed,두 팔을 벌린
doublepage,두 페이지 크기의
adenoiditis,두 편도염
pair,두 필의 말
amphi,두가지
equivocal,두가지 뜻으로 해석될 수 있는
doubleentendre,두가지 뜻의 어구
dualpurpose,두가지 목적의
doubleduty,두가지 을 가진
bifurcate,두갈래로 가르다
furcate,두갈래지다
cranium,두개
basi,두개 기부의
craniate,두개 동물
craniometry,두개 측정
craniometer,두개 측정기
craniometric,두개 측정상의
endocast,두개강 등의 내형을 나타내는 형
trephination,두개개구
pericranium,두개골
cephalic,두개의
cranial,두개의
bicorn,두개의 뿔을 가진
craniology,두개학
craniological,두개학의
coif,두건
headcloth,두건
surbase,두겁
bifold,두겹의
conduplicate,두겹의
palpitate,두근거리다
pitapat,두근두근
natterjack,두꺼비
toad,두꺼비
toadstone,두꺼비의 몸에서 생긴다고 믿었던 돌
wamus,두껍고 질긴 작업용 겉옷
boxing,두껍닫이
thickness,두께
menticide,두뇌 살해
binocular,두눈용의
brig,두대박이범선
twomasted,두대박이의
ketch,두대박이의 일종
molehill,두더지가 파올린 흙
taupe,두더지색
plow,두둑을 만들다
furrow,두둑을 짓다
floating,두둥실
hives,두드러기
urticaria,두드러기
urticate,두드러기가 나다
ragweed,두드러기쑥
urtication,두드러기의 발생
accentuation,두드러지게 하기
accentuate,두드러지게 하다
indistinctive,두드러지지 않은
standout,두드러진 사람
hammering,두드려 만든 무늬
dab,두드리다
percuss,두드리다
dint,두들겨 움푹 들어간 곳
knocker,두들기는 사람
beater,두들기는기구
pounder,두들기는사람
duralumin,두랄루민
whispering,두런두런
kibble,두레박
awesome,두려운
awestruck,두려운 생각이 든
awestricken,두려운감이들어
aweinspiring,두려운마음이일게하는
apprehension,두려움
dread,두려움
aghast,두려워 떨며
circumgyrate,두루 돌아다니다
enwreathe,두르다
shiftless,두름성 없는
shiftlessly,두름성 없는
shiftlessness,두름성 없는
rove,두리번거리다
durian,두리언의 열매
twotongued,두말하는
dumet,두멧선
chieftain,두목
ringleader,두목
bossy,두목 행세하는
lymph,두묘액
housebound,두문 불출하는
acronym,두문자어
initialism,두문자어
dubai,두바이아랍 에미레이트 연방의 주요 구성국의 하나
biped,두발동물
hairline,두발선
twiceborn,두번 태어난
remontant,두번 피는
nevermore,두번다시하지않다
overglaze,두번째 칠하는 유약
aftergrowth,두번째나는것
aftergrass,두벌갈이
renderset,두벌칠
dubcek,두브체크
wishbone,두사람이 서로당겨 긴쪽을 쥔사람이 소원성취
bestball,두사람이 팀을 짜서 각 홀의 베스트스코어를 그 팀의 스코어로 하는 방식의
pricket,두살난 사슴
hogget,두살짜리 수퇘지
capitulum,두상꽃차례
caput,두상돌기
headnote,두서
wandering,두서없다
clypeate,두순이 있는
diglossia,두언어 변종 사용
doorwop,두왑
alliteration,두운
alliterate,두운을 사용하다
soymilk,두유
acrophony,두음서법
spoonerism,두음전환
bilabial,두입술로 발음하는
scolex,두절
coronal,두정의
cephalopod,두족류동물
pock,두창
doek,두크
encephalalgia,두통
headachy,두통을 일으키는
doukhobor,두호보르
cephalization,두화
subsolar,두회귀선 사이의
cephalothorax,두흉부
embankment,둑
causeway,둑길
embank,둑으로 두르다
berm,둑의 물매턱
dockwalloper,둑의 임시 노동자
millersthumb,둑중개
sculpin,둑중개 무리의 바닷고기건달
obtusity,둔감
insensitive,둔감한
gluteus,둔근
gluteal,둔근의
rump,둔부
fugue,둔주곡
fugally,둔주곡식으로
fugal,둔주곡의
cornfed,둔중한
heavyfooted,둔중한
cloddish,둔팍한
lamebrained,둔한
deaden,둔해지다
hebetation,둔화
obtund,둔화하다
wordplay,둘러대기
circumgyration,둘러댐
encircle,둘러싸다
engird,둘러싸다
surrounded,둘러싸이다
periphery,둘레
dulcin,둘신
twoness,둘임
secundo,둘째로
dome,둥근꼭대기
rounding,둥글어지는
rataplan,둥둥
handbird,둥지를 나뭇가지에 매다는 새
hangbird,둥지를 나뭇가지에 매다는 새
jericho,뒈져라
bumblebee,뒝벌
delayed,뒤 늦은
omniumgatherum,뒤 섞인것
surreptitious,뒤가 구린
gilbertian,뒤가 닿지 않고 익살맞은
backalley,뒤가구린
backflip,뒤공중제비하다
heelball,뒤꿈치의 아래 부분
gurgitation,뒤끓음
belated,뒤늦은
suffusion,뒤덮음
retroversion,뒤돌아 봄
straggle,뒤떨어지다
lag,뒤떨어짐
totter,뒤뚝뒤뚝 걷다
barge,뒤뚱뒤뚱 걷다
barnyard,뒤뜰의
asyndetic,뒤락의 맥락이 없는
aback,뒤로
defecate,뒤를 보다
incoming,뒤를 잇는
daredevilry,뒤를 헤아리지 않음
besmear,뒤바르다
hotchpotch,뒤범벅
mishmash,뒤범벅
motley,뒤범벅
commingle,뒤섞이다
dusseldorf,뒤셀도르프
pillion,뒤안장
complicate,뒤얽히게 만들다
convolute,뒤얽히다
afoul,뒤엉키어
aftereffect,뒤에 남는 영향
postposition,뒤에 둠
posticous,뒤에 있는
postsynchronize,뒤에 화상에 맞춰 녹음하다
mixedness,뒤죽 박죽
rabble,뒤죽 박죽된것
capsize,뒤집다
upsetting,뒤집어 엎는
eversible,뒤집을 수 있는
overset,뒤집히다
upturned,뒤집힌
backstay,뒤쪽 버팀줄
retroject,뒤쪽으로 던지다
recurved,뒤쪽으로 휜
hinforemost,뒤쪽을 전면으로 하고
hinder,뒤쪽의
retral,뒤쪽의
draggle,뒤쳐져서 따라가다
cack,뒤축없는 소아용 구두
slipshod,뒤축이 닳은 신을 신은
awry,뒤틀리어
skewness,뒤틀림
lummox,뒤틈바리
hamfisted,뒤틈바리의
backboard,뒤판
backplate,뒤판
wiggler,뒤흔드는 사람
wiggle,뒤흔드는 선
offstreet,뒷 골목의
mizzenmast,뒷 돛대
mizzen,뒷 돛대의 가로돛
mizzoentop,뒷 돛대의 장루
bystreet,뒷거리
slum,뒷거리
shyer,뒷걸음질치는 말
blench,뒷걸음치다
backstairs,뒷계단
alley,뒷골목
backlane,뒷골목
backstreet,뒷골목
heeless,뒷굽이 없는
underwing,뒷날개
hindquarter,뒷다리 및 볼기
rearer,뒷다리로 서는 버릇이 있는 말
corssjack,뒷돛대 아랫단의 큰 가로돛
aftertaste,뒷맛
chignon,뒷머리에 땋아 붙인 쪽
kissmequick,뒷머리에 쓰는 테 없는 모자
backpage,뒷면의
overside,뒷면의
reiteration,뒷면인쇄
backdoor,뒷문
postern,뒷문
kickstand,뒷받침 살
corroborative,뒷받침하는
undergird,뒷받침하다
rampancy,뒷발로 일어서기
rampant,뒷발로 일어선
hallux,뒷발의 엄지발가락
pastern,뒷발톱과 발굽과의 사이
breech,뒷부분
latterwit,뒷생각
backseat,뒷자리
hippocket,뒷주머니
hippoket,뒷주머니
welter,뒹굶
dugong,듀공
dewberry,듀베리
drvetyn,듀베틴
vantageout,듀스 후에 리시브측에서 얻은 1점
vantagein,듀스 후에 서브측에서 얻은 1점
dualin,듀얼린
deucalion,듀칼리온
gaullism,드골주의
dnieper,드네프르 강
dramamine,드라마민
dravidian,드라비다 말
letterset,드라이 오프셋
screwdriver,드라이버
turnscrew,드라이버
drivein,드라이브인
blowdry,드라이어로 매만지다
blowwave,드라이어와 브러시로 매만지다
dryclean,드라이클리닝하다
dracula,드라큘라
dragline,드래그라인
dragster,드래그레이스 참가자
dram,드램
rawly,드러내놓고
decumbency,드러누움
drumroll,드럼 트레몰로
dresden,드레스덴
dressing,드레싱
drake,드레이크
drogher,드로거
drogue,드로그
drawers,드로어즈
drawcansir,드로캔서
dropout,드롭아웃
dropforge,드롭해머로 벼리다
druidism,드루이드교
druse,드루즈파
tab,드림
lambrequin,드림 천
maccginetta,드립식 커피 포트
dripolator,드립식커피 끊이개
sprinkling,드문드문
infrequent,드문드문하다
infrequence,드묾
infrequency,드묾
dvorak,드보르작
nirvana,득도
acrawl,득실거려
aswarm,득실거려
targtcard,득점 기록 카드
scorebook,득점 기입장
scoresheet,득점 기입표
firepower,득점 행위
jeton,득점계산용 산가지
runless,득점없는
scoreboard,득점판
impolitic,득책이 못되는
plurality,득표차
reassuring,든든하다
distill,듣게 하다
listenable,듣기 쉬운
jingly,듣기 좋게 울리는
euphonious,듣기 좋은
euphony,듣기좋은음조
audient,듣는 사람
hearer,듣는 사람
disobey,듣지 않다
plains,들
etcaetera,들
fieldwards,들 쪽에
dingo,들개
dogcatcher,들개 포획인
stretcher,들것
barrow,들것식의 하물 운반대
stretcherbearer,들것을 메는 사람
takeitwithyou,들고 다닐 수 있는
portative,들고나닐 수 있는
portable,들고다닐 수 있는
gingili,들기름
seething,들끓는
restless,들떠 있는
daft,들떠서 떠들어대는
randan,들떠서 떠듦
waltz,들떠서 춤추다
giddy,들뜨다
jolliness,들뜸
delacroix,들라크루아
afield,들로
audible,들리는
earshot,들리는 거리
audibly,들리도록
unheard,들리지 않는
inaudible,들리지 않은
inaudibility,들리지 않음
sonority,들림
tingly,들먹들먹하는
agog,들먹들먹하여
torsel,들보받이
ornithoscopy,들새 관찰
birder,들새 관찰자
fowler,들새 사냥꾼
fowling,들새 포획
birdwatch,들새의 생태를 관찰하다
aurochs,들소
bison,들소
flutteringly,들썩들썩
agitate,들썩이다
inapplicable,들어 맞지 않는
cloister,들어 박히다
upheave,들어 올리다
admittable,들어갈 자격이 있는
lookit,들어라
uplifter,들어올리는 사람
ingoing,들어옴
indention,들어짬
peephole,들여다 보는 구멍
intromit,들여보내다
unheardof,들은 적이 없는
audition,들음
auscultation,들음
inlet,들이는물
물건을,들이다
노력을,들이다
impendence,들이닥침
impendency,들이닥침
inspiratory,들이마시는
indrawn,들이마신내성적인
stiffarm,들이받음
swipe,들이켜기
meadowlark,들종다리찌르레기과
vole,들쥐류
heathberry,들쭉나무
inandout,들쭉날쭉의
shoplifter,들치기
discovered,들키다
undetected,들키지 않은
pail,들통
pipkin,들통
camperstral,들판의
is,등 , 동 , 동질 이성체의 뜻(모음 앞에서는 , isochronism등시성
isopod,등각류의
isohyet,등강수량선
equidistance,등거리
bunk,등걸잠자다
isolinal,등경사의 등사습곡의
stapes,등골
boneset,등골나무의일종
haircurling,등골이 오싹하는
isophote,등광도선
enhancement,등귀
backscratcher,등긁이
scratchback,등긁이
disrate,등금을 낮추다
gradation,등급 매기기
nongraded,등급 없는
rater,등급에 속하는 것
grader,등급을 매기는 사람
ungraded,등급이 매겨져 있지 않은
registrable,등기로 부칠수 있는
rattan,등나무
wisteria,등나무
canework,등나무 세공
canebrake,등나무 숲
pergola,등나무 시렁
cany,등나무가 많은
splat,등널
beacon,등대
backsaw,등대기톱
euphorbia,등대풀
carapace,등딱지
backband,등띠
isodynamic,등력의
inscription,등록공채
unrecorded,등록되지 않은
unregistered,등록되지 않은
deregister,등록을 취소하다
enroll,등록하다
ladderback,등받이에 사다리꼴 가로대를 댄
backrest,등받침
backlining,등받침 붙이기
isotropy,등방성
isotropic,등방성의
equimultiple,등배량
equilateral,등변의
duplicate,등본
dorsum,등부분
halve,등분하다
halfandhalf,등분하여
lamplight,등불
vertebra,등뼈
copying,등사
loxodromic,등사 곡선의
stencil,등사 원지
manifolder,등사기
isocline,등사습곡
transcriber,등사자
mimeograph,등사판
mimeo,등사판 인쇄물
alpinism,등산
ascent,등산
mountaineering,등산
alpinist,등산가
mountaineer,등산가
alpenstock,등산지팡이
isochromatic,등색의
isodose,등선량의
dengist,등소평 지지자
isochronism,등시성
isochronous,등시성의
niggling,등시원스럽지 않은
isochronal,등시의
lifesize,등신
fulllength,등신대
chine,등심
filet,등심살
fillet,등심살
wicking,등심지의 재료
isopiestic,등압의
curvet,등약등약하다
isogloss,등어선
isentropic,등엔트로피의
isotherm,등온선
isothermal,등온선
alsoran,등외말
unplaced,등외의
coordinative,등위의
kerosene,등유
richmond,등으로 이루어짐
ity,등을 나타냄
swayback,등을 다친
backed,등을 댄
dosados,등을 맞대고
oppositely,등을 맞대고
knifeboard,등을 맞대고 앉는 좌석
backtoback,등을 맞대고선
isotonic,등음의
isacoustic,등음향
fiddleback,등이 바이올린 모양의 의자
backless,등이 없는
ridgy,등이 있는
stirrups,등자
stirrup,등자 줄
equalarea,등적의
equipotential,등전위
cotidal,등조의
isoseismal,등진선의
coseismal,등진파권상의
carbuncle,등창
furuncle,등창.
carbuncular,등창에 걸린
tesseral,등축 정계의
anisometric,등축이 아닌
equipollence,등치
isopleth,등치선
removed,등친의
isogonic,등편각선
chimney,등피
negligence,등한
isocheim,등한선
inattentive,등한하다
negligent,등한하다
등잔불,등화
촛불,등화
di,디
digamma,디감마
digitalis,디기탈리스
foxglove,디기탈리스
dinar,디나르
dinitrobenzene,디니트로벤젠
titus,디도서
didymium,디디뮴
stave,디딤대
nosing,디딤판 코
dirham,디램
demy,디마이판
dimethylnitrosamine,디메틸니트로사민
timothy,디모데
debugging,디버깅
debrett,디브렛
dis,디스의
disinflation,디스인플레이션
agogo,디스코텍
vitaphone,디스크식 발성 영화기
ondisk,디스크에 기록되어있는
distemper,디스템퍼
distoma,디스토마
flukicide,디스토마 구충제
dysprosium,디스프로슘
diastase,디아스타제
dias,디어스
dienbienphu,디엔비엔푸
dieldrin,디엘드린
diogenes,디오게네스
dionysia,디오니소스제
diorama,디오라마
dioramic,디오라마의
dior,디오르
diomede,디오메데스
dioscuri,디오스쿠리
dna,디옥시리보 핵산
deoxyribonuclease,디옥시리보뉴클레아제
deozyribose,디옥시리보스
diopter,디옵터
styler,디자이너
afters,디저트
dessert,디저트
dessertspoonful,디저트 스푼 하나의 분량
dessertspoon,디저트스푼
dieselelectric,디젤 발전기의
dieseling,디젤링스위치를 꺼도 엔진내의 과열점에 의해 자기 점화하여 회전을 계속하는 일
diesohol,디젤유와 알코올의 혼합물
diesel,디젤차
disneyesque,디즈니 만화같은
disneyland,디즈니랜드
disraeli,디즈레일리
digitizer,디지털장치
digitalize,디지털화하다
decoding,디코딩
dicoumarin,디쿠마롤
dicumarol,디큐마롤
declarer,디클레어러
dickinson,디킨슨
dickens,디킨즈
diphtheria,디프테리아
diphtheritic,디프테리아성의
deflationary,디플레이션의
dictaphone,딕터폰
dictograph,딕토그래프
dilettante,딜레탕트풍의
deme,딤
dit,딧
barnacle,따개비
unstitch,따내다
ostracization,따돌림
warmly,따뜻하게따뜻하게 옷을 입고
warmth,따뜻함
ambsace,따라 지탱
outpace,따라가 앞서다
chaperonage,따라가기
consign,따로 두다
stash,따로 떼어두다
distributively,따로따로
unapproachable,따르기 어려운
lackey,따르다
jingle,따르릉
tingaling,따르릉
disobedient,따르지 않는
softsoap,따리 붙이다
wearisome,따분하게 하는
hohum,따분한
derogative,따위
knap,딱 꺾다
bangon,딱 들어맞는
habile,딱 들어맞는
tightfitting,딱 맞는
gape,딱 벌린 입
singultus,딱꾹질
noisemaker,딱다기
stiffening,딱딱하게 하기
ceremonious,딱딱하다
prigish,딱딱하다
stuffy,딱딱하다
scissortail,딱새 무리
blankly,딱잘라서
coleoptera,딱정벌레 목
coleopterous,딱정벌레 무리의
coleopteran,딱정벌레목의
scabbing,딱지
cracker,딱총
firecracker,딱총
taratantara,딴따라따
coppernose,딸기코
clicker,딸깍소리내는 것
hic,딸꾹
hiccough,딸꾹질
hiccup,딸꾹질
daughterly,딸다운
rattling,딸랑거리는
ting,딸랑딸랑
tinkling,딸랑딸랑
tintinnabulation,딸랑딸랑
rattlebox,딸랑딸랑상자활나물
rattlebag,딸랑주머니
cum,딸린의 뜻
perspiration,땀
sudor,땀
sweat,땀
transpiration,땀
sweaty,땀 흘리게 하는
sudorific,땀나는
miliaria,땀띠
sweatband,땀받이
sudatory,땀을 내게 하는
sudoriferous,땀을 내는
sweatily,땀을 흘리며
perspiratiory,땀의
lather,땀투성이가 되다
perspire,땀흘리다
downhole,땅 속에
dusk,땅거미
eventide,땅거미질때
cella,땅광
cellarer,땅광지기
dugout,땅굴집
punchinello,땅딸보
muniment,땅문서
sallow,땅버들
grounder,땅볼
undersurface,땅속의
landocracy,땅주인들
earthward,땅쪽으로
earthmover,땅차
peanuts,땅콩
brownie,땅콩이든 판초콜릿
afterlight,때 늦은 생각
untimely,때 아닌
mistimed,때가 좋지 않은
illtimed,때가 좋지않은
butcherbird,때까치
shrike,때까치
shellac,때려 눕히다
knockdown,때려 눕힘
stonker,때려누이다
whop,때려눕히다
clapperclaw,때리고 할퀴다
belting,때리기
goingover,때리기
licking,때림
grimy,때묻다
fleshbrush,때미는 솔
seasonable,때에 알맞는
timed,때에 알맞은
misplace,때와 장소를 틀리다
styrax,때죽나무
pewter,땜납
tinker,땜장이
tinkle,땜장이 노릇을 하다
clink,땡그랑 소리
clinking,땡그랑 울리는
dingdong,땡땡
ashlar,떠 내어 다듬은 돌
outgoing,떠나가는
dimissory,떠나게 하는
leaver,떠나는사람
skimming,떠낸 크림
vagabond,떠도는
waft,떠돌게 하다
adrift,떠돌아
afloat,떠돌아
landloper,떠돌이
wanderer,떠돌이
drifter,떠돌이
shuffler,떠돌이 이꾼
hooha,떠드는 소리
bustle,떠들게 하다
fuss,떠들게 하다
jollity,떠들며 놀기
bustling,떠들썩하다
noisely,떠들썩하다
clamor,떠들어대다
unruffled,떠들어대지않는
babble,떠듬거리는 말
undertaker,떠맡은 일
brag,떠벌리다
grandiosity,떠벌림
feeler,떠보기
sandiver,떠오르는 찌꺼기
oaken,떡갈나무제
quiver,떨게 하다
shivery,떨기 잘 하는오싹하는
quavering,떨리는
quivering,떨리는
trembling,떨리는
quake,떨리다
tremor,떨림
abase,떨어뜨리다
demean,떨어뜨리다
instilltion,떨어뜨림
banish,떨어버리다
detachedly,떨어져서
disengage,떨어지다
sever,떨어지다
latcheron,떨어지지 않는 사람
bredinthebone,떨쳐버릴 수 없는
shudder,떪
astringent,떫다
turf,떼
sod,떼
bevy,떼
caboodle,떼
shoal,떼 다수
unyoke,떼다
disconnect,떼다
slough,떼다
unjoin,떼다
unsolder,떼다
constellate,떼를 짓다
bilk,떼먹고 도치다-잘라먹음
avulsion,떼어 낸 부분
sketchblock,떼어 쓸수 있는 도화지
demount,떼어내다
dismount,떼어내다
disbound,떼어낸
unglue,떼어놓다
unhinge,떼어놓다
herd,떼지어 모이다
rafter,뗏목 만드는 사람
catamaran,뗏목 배
raft,뗏목배
divot,뗏장
soddy,뗏집
clangor,뗑그렁뗑그렁
clangorous,뗑그렁뗑그렁울리는
clang,뗑하고 울리다
sharpcut,또렷하다
ticker,똑딱거리는 물건
taptap,똑똑
drip,똑똑 떨어지다
trickle,똑똑 떨어지다
inariticulate,똑똑하게 의견을 말하지 않는
aloud,똑똑히
enunciate,똑똑히 발음하다
directness,똑바름
yob,똘마니
shit,똥
turd,똥
midden,똥 무더기
mutt,똥개
dung,똥거름
dunghill,똥거름더미
curb,똥누게 도랑쪽으로 데리고 가다
shithead,똥살 놈
coprophilous,똥에서 자라는
dejecta,똥오줌
coprophagous,똥을 먹고 사는
fecal,똥의
lid,뚜껑
hanap,뚜껑 달린 술잔
ziptop,뚜껑가두리의 금속테를 획 돌려서 따는
trapdoor,뚜껑문
lidless,뚜껑이 없는
lidded,뚜껑이 있는
perceivably,뚜렷이
recognizably,뚜렷이
fogless,뚜렷이 보이는
distinctly,뚜렷하게
toot,뚜우뚜우
procure,뚜쟁이질하다
dripping,뚝뚝 떨어짐
scrutinize,뚫어지게 보다
roisterous,뚱땅거리며 마시는
butterball,뚱뚱보
puncho,뚱뚱보
obese,뚱뚱하다
porky,뚱뚱하다
sullen,뚱하다
sullenly,뚱하여
dumpy,뚱한
saturnine,뚱한
inexpressive,뚱한
mump,뚱해 있다
tittup,뛰며 걷다
transilient,뛰어 넘는
superstar,뛰어나 인기 배우
excel,뛰어나다
supercede,뛰어나다
vaulter,뛰어넘는 사람
romp,뛰어놀다
fleabeetle,뜀벼룩갑충
springboard,뜀판
knitted,뜨개것의
knitting,뜨개질
yarning,뜨개질
hotly,뜨겁게
stars,뜨다
bloodwarm,뜨듯한
scummy,뜬 찌끼투성이의
furphy,뜬소문
cinder,뜬숯
forfeit,뜯기다
extacted,뜯기다
disassemble,뜯다
flotation,뜸
limpkin,뜸부기과의 새
cautery,뜸술
cauterize,뜸을 뜨다
cauterization,뜸질
deckle,뜸틀
unawares,뜻밖에
sparsely,띄엄띄엄
zoster,띠
zonary,띠 모양의
cingulate,띠 모양의 것이 있는
ribbonfish,띠 모양의 바다 물고기
zonate,띠가 있는
begird,띠로 감다
thatch,띠로 이은 지붕
fasciate,띠로묶은
ungirt,띠를 늦춘
cincture,띠를 두르다
belted,띠를 두른
girdler,띠만드는 사람
frieze,띠모양의 장식
zonal,띠의
raga,라가
ragarock,라가록
lager,라거비어
라고,라고
methinks,라고 생각되다
moluccas,라고도 함
ragout,라구
lanolin,라놀린
lanital,라니탈
rhadamanthus,라다만토스
ladoga,라도가호
radon,라돈
radium,라듐
radian,라디안
radiogramophone,라디오 겸용 전축
radionics,라디오 공학
radiophonograph,라디오 달린 레코드 플레이어
radioman,라디오 방송국 직원
radiogenic,라디오 방송에 알맞는
radiobroadcast,라디오 방송자
transceiver,라디오 송수신기
chronopher,라디오 시보기
radioactinium,라디오 악티늄
radiosonde,라디오 존데
radiometer,라디오미터
radiometry,라디오미터 사용법
llama,라마
lamasery,라마 사원
lamaism,라마교
ramadan,라마단
marseillaise,라마르세예즈
lammas,라마스
lamazetechnique,라마스 법
lamaze,라마스법
ramayana,라마야나
rama,라마화신
ramses,라메스
ramie,라미
ramee,라미
chlavydia,라미디아
rabat,라바트
lavalava,라발라바
lavender,라벤더
rabelais,라볼레
rabelaisian,라블레 숭배자
ravioli,라비올리
racemic,라세미의
racemization,라세미화
rastafarian,라스타파리안를 신으로 신앙하는 자메이카 흑인.아프리카 복귀를 주창
racine,라신
laetrile,라에트릴
lao,라오말태국 북부에서 라오스에 걸쳐 쓰이는 말 , 타이어에 가까움
laocoon,라오콘
liger,라이거
linar,라이나
leiden,라이덴
ricer,라이서
lysozyme,라이소자임
laius,라이오스
risetime,라이즈 타임
leica,라이카
lighter,라이터
flint,라이터돌
cruiserweight,라이트 헤비급
lightweight,라이트급 선수
leipzig,라이프치히
riflescope,라이플총 망원 조준기
reichsmark,라이히스마르크독일에서 사용하던 마르크화
rhenish,라인 백포도주
rhineland,라인 지방
rhine,라인강
loess,라인강 유역의 황토
batavia,라인강 하구에 있던 옛지역
linebacker,라인배커
rhinestone,라인석
lineup,라인업
lilac,라일락
limejuice,라임 과즙
limeade,라임에이드
limehouse,라임하우스
lasagna,라자냐
rajput,라지푸트족의 자손이라 칭함
rajpoot,라지푸트족의 자손이라 칭함
llchesis,라케시스의 하나
lacedaemon,라케아이몬
gymkhana,라켓 코트의 뜻에서경기장
racquetball,라켓볼
laconia,라코니아
lakoda,라코다
laccolith,라콜리스
lacombe,라콤종
lacrosse,라크로스
rhatany,라타니아
latakia,라타키아
laterite,라테라이트
laterization,라테라이트화
latosol,라토졸
latria,라트리아
latvia,라트비아
latvian,라트비아 사람
lettish,라트비아어
ratine,라티네 연사
latimeria,라티메리아
latinity,라틴 말투
hispanic,라틴 아메리카 사람
lafta,라틴 아메리카 자유 무역 연합
latinamerican,라틴 아메리카의
greaseball,라틴계 외국인
romanic,라틴말계통의
latinate,라틴말에서 파생된
ecla,라틴아메리카 경제 위원회
latin,라틴어
latinism,라틴어풍
delectus,라틴작가 발췌서
raphael,라파엘
preraphael,라파엘 이전의
raphaelesque,라파엘풍의
rappel,라펠
laputa,라퓨터 섬
laputan,라퓨터 섬 사람
lapp,라플란드 말
lappish,라플란드 말
laplander,라플란드 사람
raffinate,라피네이트
raffinose,라피노오스
raffia,라피아 모자
rachel,라헬
rachmaninoff,라흐마니노프
frenchpolish,락으로 끝손질하다
lactase,락타아제
lactose,락토오스
lactoferrin,락토페린
lactoflavin,락토플라빈
frillies,란제리
lingerie,란제리
lantana,란타나
lanthanum,란탄
lanthanide,란탄족
rallentando,랄렌탄도
lambdology,람다 바이러스학
rabbi,랍비
rabbinist,랍비 신봉자
rabbin,랍비들
rabbinic,랍비식의
rabbinism,랍비의 교의
langur,랑구르
rangoon,랑군
rendezvous,랑데부
ragtime,래그타임
ragger,래그타임 팬
raglan,래글런의
lanner,래너 매
laddertron,래더트론
larrigan,래리건
raster,래스터
rasterscan,래스터주사
lacquer,래커
ratafia,래터피어
rappee,래피
landaulet,랜도형 자동차
landsat,랜드샛
lancet,랜싯
lansing,랜싱
landler,랜틀러
rallymaster,랠리 조직위원장
rallyist,랠리 참가자
rallycross,랠리크로스
rem,램
ramekin,램킨
ramequin,램킨
langley,랭글리
lancaster,랭커스터
lugsail,러그세일
rushing,러닝 플레이로 나아간 거리
rutherfordium,러더퍼듐
rusk,러스크노르께하게 구운 빵
zwieback,러스크의일종
rushmore,러시모어산
russia,러시아
russianization,러시아화
russification,러시아화
russianize,러시아화하다
ruck,러크하다
rutlandshire,러틀랜드
ruffed,러프가 있는
lux,럭스
cockaigne,런던
wimbledon,런던 교외의 도시
heathrow,런던 국제 공항
cockneyese,런던 말씨
cockneyish,런던 말씨
piccadilly,런던 번화가의 하나
eton,런던 서쪽의 도시
libor,런던 은행간 거래 금리
belgravia,런던부근의 상류주택지역
westminster,런던시 중앙의 자치구
londonism,런던식
crufts,런던에서 2월에 열리는 개 전시회
cockney,런던영어
commissionaire,런던의
barts,런던의
whitehall,런던의 관청가
tyburn,런던의 사형장
billingsgate,런던의 어시장
lloyds,런던의 해상보험업자 조합
beefeater,런던탑의 수위
runin,런인
launching,런칭
rum,럼 술
rummy,럼의
baba,럼주로 맛낸 건포도 과자
bumbo,럼주에 단맛
regatta,레가타
regal,레갈
reggae,레게
legumin,레구민
regulus,레굴루스
regulo,레귤로
leghorn,레그혼
lena,레나강
rhenium,레늄
renin,레닌
rennin,레닌
leningrad,레닌그라드
leninism,레닌주의
leninist,레닌주의자
rennet,레닛
leda,레다
lemony,레몬 맛이있는
citreous,레몬색의
lemonade,레몬수
citrine,레몬의
remoulade,레물라드
lebanon,레바논
lebanese,레바논 사람
beirut,레바논의 수도
levant,레반트
levantine,레반트
levanter,레반트사람
revue,레뷔
reserpine,레서핀
resmethrin,레스메스린
leicestershire,레스터셔
palooka,레슬러
wrestler,레슬링선수
rassle,레슬링시합
lecithin,레시틴
leah,레아
rhea,레아
levite,레위 사람
leviticus,레위기
levitical,레위기의
lei,레이
reagan,레이건
reaganomic,레이건 경제의
reaganaut,레이건 대통령의 측근자
reaganism,레이건 주의
reaganite,레이건주의자
reynard,레이너드
reynolds,레이놀즈
rainier,레이니어산
radome,레이돔
lacework,레이스
rayon,레이온
rawin,레이원
rawinsonde,레이윈존데
retroreflector,레이저 광선 역반사 장치
lase,레이저 광선을 발하다
